Block,Timestamp,Reserve0,Reserve1,totalSupply,Reserve0TKN,Reserve1TKN
11511576,1608749493,336342411171068747994,20620456421534043867512,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11513076,1608769841,336342411171068747994,20620456421534043867512,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11514576,1608789980,328530642065436335382,21111768419474228082261,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11516076,1608809818,328452331729221412099,21116812023919087111828,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11517576,1608829929,321087704696132428866,21602150651379852575697,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11519076,1608849615,321087704696132428866,21602150651379852575697,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11520576,1608870268,325487704696132428866,21310713025405938592765,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11522076,1608889861,325502124696132428866,21309770832229322609445,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11523576,1608909871,325502124696132428866,21309770832229322609445,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11525076,1608929406,328545447620840470227,21112772387616456033955,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11526576,1608950158,328545447620840470227,21112772387616456033955,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11528076,1608969444,328545447620840470227,21112772387616456033955,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11529576,1608989267,328545447620840470227,21112772387616456033955,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11531076,1609008993,334618078393461149567,20730492233444062417558,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11532576,1609028627,342346784148863144957,20263484813787855573117,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11534076,1609049000,342346784148863144957,20263484813787855573117,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11535576,1609068808,342261381723088319010,20268551174630854920658,1640897722214681220540,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
