block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
10518000,1595537940,85045989609949233739391,68665570349989200524598,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10519000,1595550800,85045989609949233739391,68665570349989200524598,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10520000,1595564037,85513821161701583807008,68293659893977915973777,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10521000,1595577665,88547219295462417492547,65977233894079187600980,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10522000,1595591287,89510068756544471264583,65274603768944612810366,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10523000,1595604570,91507548082376196604160,63863965115228239059985,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10524000,1595617514,91507548082376196604160,63863965115228239059985,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10525000,1595630632,92112599594015174878688,63448652281378884497314,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10526000,1595644773,94060367667471369812645,62173039837415311211970,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10527000,1595658421,91315410928951179481595,64108364725539641000763,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10528000,1595672114,91840747692376806466807,63745317398237896942711,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10529000,1595685385,91840747692376806466807,63745317398237896942711,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10530000,1595699030,93843878535878917310130,62398151190059619809961,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10531000,1595712359,95836408162930836461095,61113708405283823610830,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10532000,1595725572,95836408162930836461095,61113708405283823610830,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10533000,1595738927,96067517568645265318471,60968153833301949806985,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10534000,1595752122,98529696053963677931604,59479312881050170477631,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
10535000,1595765196,98040521160010474905110,59806791482016443359029,104322456113237788764645,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x960b236A07cf122663c4303350609A66A7B288C0
