block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
12127000,1616925873,1178.75,1827.9,1000.0,BNT,AXS,0.6448656928716012,1.467868224671411
12128000,1616939693,57268.9403283823,88807.547,48584.46687455551,BNT,AXS,0.6448656928716012,1.467868224671411
12129000,1616952661,58767.9259598077,83024.2629835267,47584.4668745555,BNT,AXS,0.7078403812084205,1.4679372409407465
12130000,1616965898,57875.25769946343,84310.8544494164,47584.4668745555,BNT,AXS,0.6864508499814409,1.467989692890858
12131000,1616979204,58445.37587156132,83490.07067977005,47584.4668745555,BNT,AXS,0.7000278643400747,1.4680041537073016
12132000,1616992612,58004.7976279176,84125.50406623652,47584.4668745555,BNT,AXS,0.6895031212204958,1.4680153264766305
12133000,1617005829,57425.962420271,84975.17853313469,47584.4668745555,BNT,AXS,0.6757969022433848,1.4680301534765363
12134000,1617018994,59139.12703836385,82518.46061027203,47584.4668745555,BNT,AXS,0.7166775361657937,1.4680735212228182
12135000,1617032146,58252.73216825062,83780.07229799965,47584.4668745555,BNT,AXS,0.6953053461335038,1.468125923080674
12136000,1617045724,58252.73216825062,83780.07229799965,47584.4668745555,BNT,AXS,0.6953053461335038,1.468125923080674
12137000,1617059002,59581.48393839061,81915.37346658892,47584.4668745555,BNT,AXS,0.7273541145813404,1.46815922282659
12138000,1617072527,62179.765713547175,78502.4939896374,47584.4668745555,BNT,AXS,0.7920737616534211,1.4682535510600578
12139000,1617085455,63494.00490573221,76880.83311152965,47584.4668745555,BNT,AXS,0.8258756095114448,1.468284428778129
12140000,1617099055,68095.20756434649,71727.65963403054,47584.4668745555,BNT,AXS,0.949357722136515,1.4687111652146718
12141000,1617112359,66423.95505713577,73536.04035073245,47584.4668745555,BNT,AXS,0.903284358803175,1.468747965670119
12142000,1617125858,66448.25222437913,73514.01550428278,47584.4668745555,BNT,AXS,0.9038854940594013,1.4687965574813995
12143000,1617138376,65640.71574464066,74420.24700428278,47584.4668745555,BNT,AXS,0.8820276522444642,1.468814663709092
12144000,1617151442,65004.48799066726,75150.10497050629,47584.4668745555,BNT,AXS,0.8649953052784048,1.4688290686710421
12145000,1617165393,63963.45697479987,76382.69228277972,47584.4668745555,BNT,AXS,0.8374077302486006,1.4689203142050908
12146000,1617178635,63963.45697479987,76382.69228277972,47584.4668745555,BNT,AXS,0.8374077302486006,1.4689203142050908
12147000,1617192122,63963.45697479987,76382.69228277972,47584.4668745555,BNT,AXS,0.8374077302486006,1.4689203142050908
12148000,1617205755,63963.45697479987,76382.69228277972,47584.4668745555,BNT,AXS,0.8374077302486006,1.4689203142050908
12149000,1617218416,61159.694195336066,79901.70029802497,47584.4668745555,BNT,AXS,0.7654367049414069,1.4690800302348062
12150000,1617231494,61401.928779923444,79594.25168694556,47584.4668745555,BNT,AXS,0.7714367241170271,1.4691517300125614
12151000,1617244892,61101.65889244091,79986.18684192057,47584.4668745555,BNT,AXS,0.7639026350036938,1.469158964338924
12152000,1617258592,61101.65889244091,79986.18684192057,47584.4668745555,BNT,AXS,0.7639026350036938,1.469158964338924
12153000,1617271890,61101.65889244091,79986.18684192057,47584.4668745555,BNT,AXS,0.7639026350036938,1.469158964338924
12154000,1617285487,61101.65889244091,79986.18684192057,47584.4668745555,BNT,AXS,0.7639026350036938,1.469158964338924
12155000,1617298914,58962.54609106191,83008.34830528006,47584.4668745555,BNT,AXS,0.7103206761109758,1.47022496383476
12156000,1617311813,59375.086782499406,82437.24582625426,47584.4668745555,BNT,AXS,0.7202458814264496,1.4702752876704355
12157000,1617324862,59375.086782499406,82437.24582625426,47584.4668745555,BNT,AXS,0.7202458814264496,1.4702752876704355
12158000,1617338231,59375.086782499406,82437.24582625426,47584.4668745555,BNT,AXS,0.7202458814264496,1.4702752876704355
12159000,1617351842,60107.49207180909,81434.76314310514,47584.4668745555,BNT,AXS,0.7381060587869865,1.470293423740871
12160000,1617365592,60107.49207180909,81434.76314310514,47584.4668745555,BNT,AXS,0.7381060587869865,1.470293423740871
12161000,1617379022,60820.32621023848,80482.22993792941,47584.4668745555,BNT,AXS,0.7556988201885703,1.4703108603214894
12162000,1617391685,60820.32621023848,80482.22993792941,47584.4668745555,BNT,AXS,0.7556988201885703,1.4703108603214894
12163000,1617404800,60272.10049482855,81215.76428165859,47584.4668745555,BNT,AXS,0.7421231706421327,1.4703242610261904
12164000,1617418094,59460.10878272446,82327.10589587061,47584.4668745555,BNT,AXS,0.7222421842197526,1.4703443805358987
12165000,1617431106,59460.10878272446,82327.10589587061,47584.4668745555,BNT,AXS,0.7222421842197526,1.4703443805358987
12166000,1617444930,58923.75577260752,83078.00317574035,47584.4668745555,BNT,AXS,0.7092582093958401,1.4703577913384374
12167000,1617458370,58923.75577260752,83078.00317574035,47584.4668745555,BNT,AXS,0.7092582093958401,1.4703577913384374
12168000,1617471461,58923.75577260752,83078.00317574035,47584.4668745555,BNT,AXS,0.7092582093958401,1.4703577913384374
12169000,1617484912,58202.85709486819,84109.08830222121,47584.4668745555,BNT,AXS,0.6919924858266611,1.4703760048872911
12170000,1617497679,58202.85709486819,84109.08830222121,47584.4668745555,BNT,AXS,0.6919924858266611,1.4703760048872911
12171000,1617511290,59574.55540246651,82176.35798284606,47584.4668745555,BNT,AXS,0.7249597921448699,1.4704106576279268
12172000,1617524192,60313.496336386146,81171.57412109591,47584.4668745555,BNT,AXS,0.7430371652816217,1.4704288959492837
12173000,1617538056,63221.17357770728,77445.65499331347,47584.4668745555,BNT,AXS,0.8163295098113083,1.4704985389441796
12174000,1617550818,63717.02285816878,76848.02714873797,47584.4668745555,BNT,AXS,0.8291302356382635,1.4705469378173663
12175000,1617563700,63103.13356532906,77597.14437017946,47584.4668745555,BNT,AXS,0.8132146366661859,1.4705612726898116
12176000,1617576828,63103.13356532906,77597.14437017946,47584.4668745555,BNT,AXS,0.8132146366661859,1.4705612726898116
12177000,1617589945,61540.5540424464,79571.44119398893,47584.4668745555,BNT,AXS,0.7734000178834937,1.470598453759506
12178000,1617603757,62908.31367446579,77844.85007157298,47584.4668745555,BNT,AXS,0.808124283322865,1.470631137944422
12179000,1617616703,73058.37401581535,67143.12083310587,47584.4668745555,BNT,AXS,1.0880991694951552,1.4718737330987424
