block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
10518000,1595537940,73896.78193589063,3466.654253474135,207177.31169706755,BNT,GNO,21.316455733026846,0.0772548643632866
10519000,1595550800,75044.81354394465,3413.7932645666706,207177.31169706755,BNT,GNO,21.982823131930473,0.07725680730153173
10520000,1595564037,75044.81354394465,3413.7932645666706,207177.31169706755,BNT,GNO,21.982823131930473,0.07725680730153173
10521000,1595577665,76441.0032138107,3351.634592146773,207177.31169706755,BNT,GNO,22.807081473893334,0.07725904360612217
10522000,1595591287,77250.2177020054,3316.5956022090336,207177.31169706755,BNT,GNO,23.292021991029756,0.07725986106723139
10523000,1595604570,77896.12814592221,3289.1495470153936,207177.31169706755,BNT,GNO,23.68275660089883,0.07726050673261266
10524000,1595617514,77896.12814592221,3289.1495470153936,207177.31169706755,BNT,GNO,23.68275660089883,0.07726050673261266
10525000,1595630632,78793.39290575216,3251.768815635618,207177.31169706755,BNT,GNO,24.230933185313344,0.07726139378304382
10526000,1595644773,77397.13651996506,3310.5504168536436,207177.31169706755,BNT,GNO,23.378933039637413,0.0772627845956399
10527000,1595658421,76638.69003857429,3343.6960962945427,207177.31169706755,BNT,GNO,22.920351560509545,0.07726721200468925
10528000,1595672114,76638.69003857429,3343.6960962945427,207177.31169706755,BNT,GNO,22.920351560509545,0.07726721200468925
10529000,1595685385,76638.69003857429,3343.6960962945427,207177.31169706755,BNT,GNO,22.920351560509545,0.07726721200468925
10530000,1595699030,76638.69003857429,3343.6960962945427,207177.31169706755,BNT,GNO,22.920351560509545,0.07726721200468925
10531000,1595712359,77241.53159504425,3317.656377925433,207177.31169706755,BNT,GNO,23.28195653684431,0.07726787101494544
10532000,1595725572,77241.53159504425,3317.656377925433,207177.31169706755,BNT,GNO,23.28195653684431,0.07726787101494544
10533000,1595738927,77725.72254209586,3297.030412939862,207177.31169706755,BNT,GNO,23.57446332222037,0.07726835512730736
10534000,1595752122,79211.08853007635,3235.5279943770447,207177.31169706755,BNT,GNO,24.481657605106683,0.07727221798236128
10535000,1595765196,80025.10523486588,3202.879083955479,207177.31169706755,BNT,GNO,24.98536570916589,0.07727538993578208
10536000,1595778346,71653.52253080845,3578.184829191964,207177.31169706755,BNT,GNO,20.025103775030384,0.07728726950764726
10537000,1595791784,74343.85986386985,3449.1258365069025,207177.31169706755,BNT,GNO,21.554406359137506,0.0772920594005028
10538000,1595805432,74277.81339532294,3452.400100085817,207177.31169706755,BNT,GNO,21.514833519288974,0.0772943807315023
10539000,1595818691,74277.81339532294,3452.400100085817,207177.31169706755,BNT,GNO,21.514833519288974,0.0772943807315023
10540000,1595831829,75286.95829423917,3406.216398332844,207177.31169706755,BNT,GNO,22.102811298509398,0.07729542687070683
10541000,1595845330,73955.84285316792,3467.648617291401,207177.31169706755,BNT,GNO,21.32737512226231,0.07729681400375359
10542000,1595858675,73955.84285316792,3467.648617291401,207177.31169706755,BNT,GNO,21.32737512226231,0.07729681400375359
10543000,1595872747,75494.17714514481,3397.1293864777163,207177.31169706755,BNT,GNO,22.22293252816617,0.07729841317650603
10544000,1595886255,74961.04396895337,3421.3389735069263,207177.31169706755,BNT,GNO,21.90985592173497,0.07729896376498985
10545000,1595899333,75945.25515235281,3377.0885372232547,207177.31169706755,BNT,GNO,22.488381431301566,0.07729997486278255
10546000,1595912879,75192.32711418919,3410.9729625911023,207177.31169706755,BNT,GNO,22.044246008056977,0.07730075006972206
10547000,1595925464,72998.4543639206,3513.730717256892,207177.31169706755,BNT,GNO,20.77519885215029,0.07730344998819086
10548000,1595939151,71867.85956839068,3569.119273233265,207177.31169706755,BNT,GNO,20.136020700503398,0.07730466323563275
10549000,1595952308,71330.83174668372,3596.0442992651056,207177.31169706755,BNT,GNO,19.83591574810717,0.0773052461193507
10550000,1595965859,70486.75933284099,3639.1936423538486,207177.31169706755,BNT,GNO,19.36878502767712,0.07730617066625203
10551000,1595979281,71135.39555052968,3606.0765968057804,207177.31169706755,BNT,GNO,19.726534820014795,0.0773068816973782
10552000,1595992791,71135.39555052968,3606.0765968057804,207177.31169706755,BNT,GNO,19.726534820014795,0.0773068816973782
10553000,1596006108,71135.39555052968,3606.0765968057804,207177.31169706755,BNT,GNO,19.726534820014795,0.0773068816973782
10554000,1596019405,71707.26343222056,3577.3755008560533,207177.31169706755,BNT,GNO,20.04465659673167,0.07730750286550625
10555000,1596032209,71165.6552806363,3604.6561633042725,207177.31169706755,BNT,GNO,19.742702786775933,0.07730809210679683
10556000,1596045521,71165.6552806363,3604.6561633042725,207177.31169706755,BNT,GNO,19.742702786775933,0.07730809210679683
10557000,1596058733,71165.6552806363,3604.6561633042725,207177.31169706755,BNT,GNO,19.742702786775933,0.07730809210679683
10558000,1596072129,71561.3186288103,3584.76581863987,207177.31169706755,BNT,GNO,19.962620223812017,0.07730852170446595
10559000,1596085186,71237.93520901668,3601.8265247295467,207177.31169706755,BNT,GNO,19.778280469619723,0.0773169767989074
10560000,1596098759,71601.73957549494,3583.5624320598254,207177.31169706755,BNT,GNO,19.980603361314508,0.07731737144984445
10561000,1596113146,70113.25737966028,3659.795158475277,207177.31169706755,BNT,GNO,19.15769991041533,0.07731900702077299
10562000,1596126689,68050.95444796885,3770.932886586077,207177.31169706755,BNT,GNO,18.046185518188082,0.07732133050018491
10563000,1596140024,68682.56143086137,3736.4130473600485,207177.31169706755,BNT,GNO,18.38195096748975,0.07732296307597862
10564000,1596153533,68064.14863404741,3770.4297221807724,207177.31169706755,BNT,GNO,18.052093169549888,0.0773236666767213
10565000,1596167425,67245.14612482843,3816.4439547278816,207177.31169706755,BNT,GNO,17.61984374001455,0.07732460709552905
10566000,1596180845,66646.0694437528,3850.8190258887234,207177.31169706755,BNT,GNO,17.306985603763,0.07732530321419998
10567000,1596193921,66297.97236885823,3871.421648526313,207177.31169706755,BNT,GNO,17.124968135179767,0.07732913760840553
10568000,1596207016,65541.24155650243,3916.210909504142,207177.31169706755,BNT,GNO,16.73588146068493,0.07733002935486219
10569000,1596220220,67128.40201072604,3823.8014313851445,207177.31169706755,BNT,GNO,17.555410032473695,0.07733189040044418
10570000,1596233291,68563.93879124662,3743.900693405996,207177.31169706755,BNT,GNO,18.313503590521492,0.07733353205078351
10571000,1596247290,68011.18565861422,3774.3902620823837,207177.31169706755,BNT,GNO,18.019118569125258,0.07733416152194345
