block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
10518000,1595537940,73896781935890640807548,3466654253474134777550,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10519000,1595550800,75044813543944651796205,3413793264566670048655,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10520000,1595564037,75044813543944651796205,3413793264566670048655,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10521000,1595577665,76441003213810682742898,3351634592146773503835,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10522000,1595591287,77250217702005385968856,3316595602209033571983,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10523000,1595604570,77896128145922219890559,3289149547015394505507,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10524000,1595617514,77896128145922219890559,3289149547015394505507,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10525000,1595630632,78793392905752129277901,3251768815635617599167,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10526000,1595644773,77397136519965029103361,3310550416853643354815,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10527000,1595658421,76638690038574317323813,3343696096294542121791,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10528000,1595672114,76638690038574317323813,3343696096294542121791,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10529000,1595685385,76638690038574317323813,3343696096294542121791,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10530000,1595699030,76638690038574317323813,3343696096294542121791,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10531000,1595712359,77241531595044246813254,3317656377925433306105,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10532000,1595725572,77241531595044246813254,3317656377925433306105,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10533000,1595738927,77725722542095863872070,3297030412939862026131,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10534000,1595752122,79211088530076333395435,3235527994377044662373,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10535000,1595765196,80025105234865896957172,3202879083955478754072,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10536000,1595778346,71653522530808454153994,3578184829191965093863,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10537000,1595791784,74343859863869860778887,3449125836506902661516,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10538000,1595805432,74277813395322933411815,3452400100085816778742,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10539000,1595818691,74277813395322933411815,3452400100085816778742,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10540000,1595831829,75286958294239172827487,3406216398332844384143,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10541000,1595845330,73955842853167927886977,3467648617291401006991,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10542000,1595858675,73955842853167927886977,3467648617291401006991,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10543000,1595872747,75494177145144811906763,3397129386477715942717,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10544000,1595886255,74961043968953375807211,3421338973506926629443,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10545000,1595899333,75945255152352822316576,3377088537223254739782,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10546000,1595912879,75192327114189204984752,3410972962591102227692,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10547000,1595925464,72998454363920610310387,3513730717256891503726,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
10548000,1595939151,71867859568390669197394,3569119273233266153582,207177311697067530903836,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x6810e776880C02933D47DB1b9fc05908e5386b96
