block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11502000,1608623427,3782590843311870186779,9748161453534058591143,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11503000,1608636545,3782590843311870186779,9748161453534058591143,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11504000,1608649855,3840984209724814111905,9600259385558040175949,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11505000,1608663126,4265010289191243798466,8647663969968719522140,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11506000,1608676320,3866556852405163117337,9542380760865593507764,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11507000,1608689868,3806837411425075149944,9692380760865593507764,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11508000,1608702922,3806837411425075149944,9692380760865593507764,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11509000,1608716012,3806837411425075149944,9692380760865593507764,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11510000,1608728710,3806837411425075149944,9692380760865593507764,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11511000,1608742373,3806837411425075149944,9692380760865593507764,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11512000,1608755539,3806837411425075149944,9692380760865593507764,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11513000,1608768583,3559167375506067575819,10368285588299989205853,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11514000,1608782222,3559167375506067575819,10368285588299989205853,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11515000,1608795613,3508512033279390790495,10518285588299989205853,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11516000,1608808964,3592980854509819290384,10271498085073800174168,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11517000,1608822260,3592980854509819290384,10271498085073800174168,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11518000,1608835449,3598032169530223828457,10257106661936293289436,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11519000,1608848561,3598032169530223828457,10257106661936293289436,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11520000,1608861888,3598032169530223828457,10257106661936293289436,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11521000,1608875500,3528291461575589346613,10460264429468253771372,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11522000,1608888908,3440699764197731454995,10727104129468253771372,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11523000,1608902154,3440699764197731454995,10727104129468253771372,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11524000,1608915452,3441203085138645109650,10725538288203404919781,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11525000,1608928354,3270029688742083798553,11288162852156943532158,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11526000,1608942603,3270029688742083798553,11288162852156943532158,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11527000,1608955581,3199318916343111221687,11538162852156943532158,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11528000,1608968406,3211261714250665539956,11495914107000623454941,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11529000,1608981312,3236655330509690421662,11405901746719046507264,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11530000,1608994571,3236655330509690421662,11405901746719046507264,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11531000,1609007854,3623564119318391388888,10190396471250313911898,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11532000,1609021241,3698589301176253775594,9986092537007890180800,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11533000,1609034138,3698589301176253775594,9986092537007890180800,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11534000,1609047959,3621076489677294894164,10200292537007890180800,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11535000,1609061252,3539734599228844583677,10435839719347959156225,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11536000,1609074574,3539734599228844583677,10435839719347959156225,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11537000,1609087712,3539734599228844583677,10435839719347959156225,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11538000,1609100774,3361112276160241401531,10991610649785006555282,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11539000,1609113885,3361112276160241401531,10991610649785006555282,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11540000,1609127071,3387560176985771492106,10905966822616230599510,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11541000,1609140168,3436563705325014945871,10751047979027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11542000,1609152784,3436563705325014945871,10751047979027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11543000,1609165810,3436563705325014945871,10751047979027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11544000,1609179535,3436563705325014945871,10751047979027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11545000,1609192203,3436563705325014945871,10751047979027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11546000,1609205885,3436563705325014945871,10751047979027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11547000,1609219479,3222010054744600676666,11468468479027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11548000,1609232681,3153409664676778721070,11718468479027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
11549000,1609245928,3153409664676778721070,11718468479027720104672,1000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xc944E90C64B2c07662A292be6244BDf05Cda44a7
