block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
10518000,1595537940,128692.82986965701,121467.26936118455,116192.6139233365,BNT,KNC,1.0594856585356107,1.0760396826904663
10519000,1595550800,131217.75952340136,119132.99357901054,116192.6139233365,BNT,KNC,1.1014392871474017,1.0760533765358633
10520000,1595564037,131217.75952340136,119132.99357901054,116192.6139233365,BNT,KNC,1.1014392871474017,1.0760533765358633
10521000,1595577665,133655.03981931935,116963.94383481053,116192.6139233365,BNT,KNC,1.1427029171321534,1.0760690731324336
10522000,1595591287,135226.94854433098,115607.26940267623,116192.6139233365,BNT,KNC,1.169709735754736,1.076082760686832
10523000,1595604570,136949.78124625303,114156.00465060236,116192.6139233365,BNT,KNC,1.1996721649939979,1.076097270397736
10524000,1595617514,134907.39166912338,115885.98446968327,116192.6139233365,BNT,KNC,1.1641389792431394,1.0761053936282554
10525000,1595630632,135182.72394128912,115411.48974457536,116072.58159212717,BNT,KNC,1.1713107961821718,1.0761070492814677
10526000,1595644773,134839.09803100862,115712.95708165447,116072.58159212717,BNT,KNC,1.1652895356900914,1.0761412324320763
10527000,1595658421,131637.02523772683,118537.52917413904,116072.58159212717,BNT,KNC,1.1105092720833063,1.0761859581894986
10528000,1595672114,131334.517372136,118810.83517815407,116072.58159212717,BNT,KNC,1.1054085864744825,1.0761871988426333
10529000,1595685385,131615.1747201848,118559.0011815759,116072.58159212717,BNT,KNC,1.1101238489569683,1.0761940942715835
10530000,1595699030,131521.810081638,118643.2480943659,116072.58159212717,BNT,KNC,1.1085486295606877,1.0761944766382239
10531000,1595712359,130616.96929965963,119466.73277376241,116072.58159212717,BNT,KNC,1.0933334014165494,1.076201643245326
10532000,1595725572,131720.99510623942,118466.57786720865,116072.58159212717,BNT,KNC,1.1118831781727323,1.0762069177759823
10533000,1595738927,133458.67830015952,116925.63500434319,116072.58159212717,BNT,KNC,1.1413979346377054,1.0762139932595656
10534000,1595752122,136617.26821411375,114224.99776704685,116072.58159212717,BNT,KNC,1.1960365146404661,1.076226629672145
10535000,1595765196,133764.56015507202,116666.16240497887,116072.58159212717,BNT,KNC,1.1465583284615133,1.076250448384677
10536000,1595778346,120767.3946776283,129247.62684015174,116072.58159212717,BNT,KNC,0.9343877147314167,1.0763573820241321
10537000,1595791784,129169.81482596978,120855.22064638672,116072.58159212717,BNT,KNC,1.0687979727736456,1.07642452116026
10538000,1595805432,127444.15576070132,122494.55349976718,116072.58159212717,BNT,KNC,1.040406712947801,1.0764372252542238
