block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
10518000,1595537940,128692829869657009712123,121467269361184548763303,116192613923336511808040,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10519000,1595550800,131217759523401344557856,119132993579010564920468,116192613923336511808040,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10520000,1595564037,131217759523401344557856,119132993579010564920468,116192613923336511808040,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10521000,1595577665,133655039819319347233912,116963943834810515716014,116192613923336511808040,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10522000,1595591287,135226948544330946389410,115607269402676234274729,116192613923336511808040,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10523000,1595604570,136949781246253032425556,114156004650602370225032,116192613923336511808040,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10524000,1595617514,134907391669123390281115,115885984469683270779687,116192613923336511808040,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10525000,1595630632,135182723941289106347764,115411489744575366653926,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10526000,1595644773,134839098031008616055317,115712957081654475398912,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10527000,1595658421,131637025237726823438795,118537529174138994531759,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10528000,1595672114,131334517372135985444579,118810835178154082459418,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10529000,1595685385,131615174720184758632368,118559001181575877145856,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10530000,1595699030,131521810081637986126744,118643248094365877145856,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10531000,1595712359,130616969299659636868557,119466732773762447433025,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10532000,1595725572,131720995106239419620702,118466577867208609988342,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10533000,1595738927,133458678300159547125738,116925635004343152696821,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10534000,1595752122,136617268214113743232020,114224997767046860364977,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10535000,1595765196,133764560155072012562980,116666162404978857938648,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10536000,1595778346,120767394677628284079810,129247626840151761886747,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10537000,1595791784,129169814825969796613522,120855220646386705633555,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10538000,1595805432,127444155760701325376756,122494553499767174288060,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10539000,1595818691,125901820074329497024978,124000670145429709703674,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10540000,1595831829,125490357242984381634705,124411911825860698861347,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10541000,1595845330,123584579674283448347472,126334375371166117508050,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10542000,1595858675,122539093013066474154274,127413331019792935662546,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10543000,1595872747,124032774292090109515885,125880473326169706137267,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10544000,1595886255,124013343649942040820943,125904356541365676071679,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10545000,1595899333,127804436418823394774883,122176241381997990707437,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10546000,1595912879,128376783654837671506791,121634340558027764060674,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10547000,1595925464,127134082208189434003216,122836208623021733785793,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10548000,1595939151,124985832549698819295305,124950104657843992000861,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10549000,1595952308,124611630594895210310508,125326557217178078940868,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10550000,1595965859,122704403479358599759279,127278691418256818929079,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10551000,1595979281,124917122918041047981007,125030633925304532851353,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10552000,1595992791,123626451393577246761782,126340000330662809741103,116072581592127167606606,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10553000,1596006108,124748377487007596141800,125063859212526808880648,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10554000,1596019405,124833510788898431398335,124984529287620271119247,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10555000,1596032209,120919336346182615925393,129035730734542209458342,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10556000,1596045521,120919336346182615925393,129035730734542209458342,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10557000,1596058733,120919336346182615925393,129035730734542209458342,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10558000,1596072129,122475621146961227936162,127399548536621287081454,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10559000,1596085186,124179625926592958409696,125653101825213726923886,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10560000,1596098759,124285091452323378711335,125549871293037930696862,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10561000,1596113146,121811837680104914928680,128102889277296710936616,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10562000,1596126689,117515565341319397093716,132791017078866020034600,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10563000,1596140024,116841890949263035260476,133568049013236425931605,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10564000,1596153533,115450972854292998576525,135188502260490392845723,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10565000,1596167425,114070852966830584302240,136825773094982350945691,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10566000,1596180845,112666887943334178293212,138532510096961486060442,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10567000,1596193921,111804395124246854954238,139614126907068084018565,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10568000,1596207016,110403343618835843310633,141392390566741936486517,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10569000,1596220220,114613244311012591662883,136208818363267835862009,116004752768856831818418,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10570000,1596233291,118136641036166552468931,132105580190732848886299,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10571000,1596247290,117535985451400328488901,132786851736998473173836,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10572000,1596260970,120514467804641330150407,129508315697995087648625,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10573000,1596273444,118690178072388861719576,131500895809780760352625,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10574000,1596286474,118690178072388861719576,131500895809780760352625,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10575000,1596299712,118115898991054333211264,132140895809780760352625,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10576000,1596312655,114417163388555703890914,136416940628253395162993,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10577000,1596326386,110373001576553337908009,141424025506836361050599,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10578000,1596339947,109109183413227899544981,143068747723573868959169,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10579000,1596353107,108701481617540928760834,143613512802228099545014,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10580000,1596366064,108260538894257163043353,144202906350289652617092,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10581000,1596379298,109886772976155568217673,142071971704379523453652,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10582000,1596393140,108060729909687466813676,144476443572686786922061,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10583000,1596406368,108060729909687466813676,144476443572686786922061,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10584000,1596420181,106486356763047457272630,146616679296199046334244,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10585000,1596433547,106365961459327794985771,146790862070696904449895,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10586000,1596446727,104537342142490447147757,149365192766913406188589,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10587000,1596460736,105748186281844294462520,147656632869390042244022,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10588000,1596473308,104955856676193934637780,148772564568059338198402,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10589000,1596486738,104522216367470152394662,149392458362584803952724,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10590000,1596499718,105577346811107361591415,147904067669143565875720,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10591000,1596513067,105438044629877975205062,148102354467406728509593,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10592000,1596527156,104776584793722541530077,149038273888974487429890,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10593000,1596540683,107081429390363496443291,145833525544656378406029,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10594000,1596553335,107081429390363496443291,145833525544656378406029,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10595000,1596566768,107443647195849301752965,145354941186587759233179,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10596000,1596580519,107459714308477785505326,145344244177557782922691,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10597000,1596593866,109675039242616687179312,142412473273976664303275,115984275181200551030523,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10598000,1596606713,107990449375588815983611,144630482074506539030811,115981087198105382854455,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10599000,1596620344,107685399889619364023814,145035981340081423123139,115978927341789592188895,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10600000,1596634124,104130357300481365770908,149997072204438319625493,115978927341789592188895,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10601000,1596647571,102864969635346918243980,151846741975649398884434,115978927341789592188895,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10602000,1596660522,99737414856676673006458,156603653158091872152958,115973527701000115524993,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10603000,1596674074,98588519662292255059722,158419023537178607315128,115967694646006798768478,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10604000,1596687773,94820751367403939895618,164723699264701058846089,115967694646006798768478,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10605000,1596701291,95551652254848325108075,163469468125420515227596,115967694646006798768478,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
10606000,1596713820,95835161101727091301725,161964073789939087606696,115601145244183596910816,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xdd974D5C2e2928deA5F71b9825b8b646686BD200
