block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11082000,1603051812,162400827708484598954,1558562787223434439578,1000000000000000000000,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11083000,1603065231,1312399516433042462324,12595114674872471186481,8081236622690417547222,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11084000,1603078333,1312399516433042462324,12595114674872471186481,8081236622690417547222,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11085000,1603091367,1312399516433042462324,12595114674872471186481,8081236622690417547222,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11086000,1603104567,1284559093892191091334,12868646264373241816836,8081236622690417547222,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11087000,1603117975,1284559093892191091334,12868646264373241816836,8081236622690417547222,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11088000,1603130753,1384379934989399898662,13868646264373241816835,8709215390361051656357,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11089000,1603144027,1384379934989399898662,13868646264373241816835,8709215390361051656357,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11090000,1603157253,1369333642558964155835,14021344251824395543267,8709215390361051656357,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11091000,1603169972,1369333642558964155835,14021344251824395543267,8709215390361051656357,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11092000,1603183777,1339914701300882053545,14329825029530964958705,8709215390361051656357,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11093000,1603196826,1322416692013383318005,14519820034261627110130,8709215390361051656357,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
