block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11043000,1602535471,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11044000,1602548784,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11045000,1602561978,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11046000,1602574594,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11047000,1602588359,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11048000,1602601229,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11049000,1602614722,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11050000,1602627937,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11051000,1602641337,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11052000,1602654558,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11053000,1602667579,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11054000,1602681529,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11055000,1602694261,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11056000,1602707585,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11057000,1602720186,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11058000,1602732764,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11059000,1602746405,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11060000,1602760147,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11061000,1602772966,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11062000,1602786263,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11063000,1602799114,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11064000,1602812329,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11065000,1602825913,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11066000,1602838713,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11067000,1602851884,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11068000,1602865569,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11069000,1602878937,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11070000,1602892022,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11071000,1602905004,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11072000,1602918418,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11073000,1602931980,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11074000,1602944959,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11075000,1602958258,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11076000,1602972005,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11077000,1602984934,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11078000,1602998570,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11079000,1603012020,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11080000,1603025653,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11081000,1603038991,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11082000,1603051812,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11083000,1603065231,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11084000,1603078333,5000000000000000000000,731000000000000000000,1000000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11085000,1603091367,6000000000000000000000,877200000000000000000,1200000000000000000000,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11086000,1603104567,5999999999999999999998,897293540958938464695,1213652219511639041517,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11087000,1603117975,5999999999999999999998,897293540958938464695,1213652219511639041517,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11088000,1603130753,5999999999999999999998,897293540958938464695,1213652219511639041517,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11089000,1603144027,5999999999999999999998,897293540958938464695,1213652219511639041517,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11090000,1603157253,5999999999999999999998,897293540958938464695,1213652219511639041517,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11091000,1603169972,5999999999999999999998,897293540958938464695,1213652219511639041517,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11092000,1603183777,5582953323594924176338,964465758581323430263,1213652219511639041517,0xBBbbCA6A901c926F240b89EacB641d8Aec7AEafD,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
