block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
10518000,1595537940,70551378522977245550369,2155219629005312634576286,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10519000,1595550800,71801842783770029870408,2117827030230840620743228,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10520000,1595564037,71801842783770029870408,2117827030230840620743228,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10521000,1595577665,72681211561576326391875,2092335988648610243025376,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10522000,1595591287,73182651916579705128937,2078028092632724680177591,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10523000,1595604570,73285719867434079049143,2075111423720831061493602,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10524000,1595617514,72626857089964130836594,2093974524857223742916450,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10525000,1595630632,73685694951383493909713,2063944598242227057335805,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10526000,1595644773,71825743895355399365166,2117499830700803055951357,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10527000,1595658421,70687741160018920933339,2151671153597904236823638,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10528000,1595672114,71015012639768089461885,2141775001359973256716329,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10529000,1595685385,71015012639768089461885,2141775001359973256716329,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10530000,1595699030,70937452837293788172817,2144121414959973256716329,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10531000,1595712359,70937452837293788172817,2144121414959973256716329,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
10532000,1595725572,71879245690113527052808,2116084048044517283337255,78596183187374702030511,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
