Block,Timestamp,Reserve0,Reserve1,totalSupply,Reserve0TKN,Reserve1TKN
10518278,1595541693,69766807684264750495010,196521352656367031967,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10519778,1595561071,71380254845622389684427,192123582180441088855,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10521278,1595581417,70756586034956353002113,193834228550785881175,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10522778,1595601530,72280263093911296856126,189788723077237387765,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10524278,1595621109,72280263093911296856126,189788723077237387765,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10525778,1595641649,71368336186758657198975,192275151085084643801,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10527278,1595662185,69876084020206800168875,196553049827490139742,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10528778,1595682626,69876084020206800168875,196553049827490139742,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10530278,1595702740,69876084020206800168875,196553049827490139742,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10531778,1595722729,72950040597616901165201,188352196033777291416,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10533278,1595742358,72950040597616901165201,188352196033777291416,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10534778,1595762402,76632186679202168170542,179398475120615936547,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10536278,1595782261,69269967626960781069820,198966071567143308104,204206807823482295642135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
10537778,1595802767,71913157923298606748198,191698140565893154935,204176708474067140125369,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
