Block,Timestamp,Reserve0,Reserve1,totalSupply,Reserve0TKN,Reserve1TKN,price,sINV
11127963,1603660702,8800.0,4407.288428968249,1000.0,OCEAN,BNT,1.996692556393476,6.227691239530151
11129463,1603680682,8800.0,4407.288428968249,1000.0,OCEAN,BNT,1.996692556393476,6.227691239530151
11130963,1603700810,8800.0,4407.288428968249,1000.0,OCEAN,BNT,1.996692556393476,6.227691239530151
11132463,1603721100,9388.329569586685,4133.862927190975,1000.0,OCEAN,BNT,2.2710790693696765,6.229772672896275
11133963,1603740818,8634.04376893809,4506.691368670813,1000.0,OCEAN,BNT,1.915827613348323,6.23786586343433
11135463,1603760664,8634.04376893809,4506.691368670813,1000.0,OCEAN,BNT,1.915827613348323,6.23786586343433
11136963,1603780006,8241.142215637841,4723.825529280792,1000.0,OCEAN,BNT,1.7445907272728096,6.239368396613852
11138463,1603799735,8086.945288609059,4818.552397975817,1000.0,OCEAN,BNT,1.6782935248366775,6.242384929874672
11139963,1603819545,8930.431647386376,4367.878639559101,1000.0,OCEAN,BNT,2.0445695460732454,6.24556175493138
11141463,1603839508,8168.277129122697,4779.836987396718,1000.0,OCEAN,BNT,1.708902866491155,6.248442457531905
11142963,1603859365,7817.043128516078,5001.946888376234,1000.0,OCEAN,BNT,1.562800106230976,6.253034027812723
11144463,1603879053,7512.327062369536,5206.969953471057,1000.0,OCEAN,BNT,1.4427444616540734,6.254315413728802
11145963,1603898890,7512.327062369536,5206.969953471057,1000.0,OCEAN,BNT,1.4427444616540734,6.254315413728802
11147463,1603918307,7136.523950186249,5484.081478840628,1000.0,OCEAN,BNT,1.3013161780548452,6.255979445180345
11148963,1603939006,7408.1896034128995,5284.98584407921,1000.0,OCEAN,BNT,1.4017425631730542,6.257170061960275
11150463,1603958530,7408.1896034128995,5284.98584407921,1000.0,OCEAN,BNT,1.4017425631730542,6.257170061960275
11151963,1603978153,6944.245512739136,5641.8824317664485,1000.0,OCEAN,BNT,1.2308383942280987,6.259282447708835
11153463,1603998153,7567.277465904949,5182.017927476167,1000.0,OCEAN,BNT,1.4602955010598528,6.262089706360478
11154963,1604018191,7567.277465904949,5182.017927476167,1000.0,OCEAN,BNT,1.4602955010598528,6.262089706360478
11156463,1604038534,7567.277465904949,5182.017927476167,1000.0,OCEAN,BNT,1.4602955010598528,6.262089706360478
11157963,1604058524,7184.953474582223,5460.697284891332,1000.0,OCEAN,BNT,1.3157575122249618,6.2637732981583625
11159463,1604078500,7184.953474582223,5460.697284891332,1000.0,OCEAN,BNT,1.3157575122249618,6.2637732981583625
11160963,1604098577,7184.953474582223,5460.697284891332,1000.0,OCEAN,BNT,1.3157575122249618,6.2637732981583625
11162463,1604118102,6917.758503688868,5673.827616993779,1000.0,OCEAN,BNT,1.2192401621384072,6.26499555035145
11163963,1604138722,7397.464174814266,5309.513954881149,1000.0,OCEAN,BNT,1.3932469596418744,6.267131661845768
11165463,1604157829,7397.464174814266,5309.513954881149,1000.0,OCEAN,BNT,1.3932469596418744,6.267131661845768
11166963,1604177955,7397.464174814266,5309.513954881149,1000.0,OCEAN,BNT,1.3932469596418744,6.267131661845768
11168463,1604197503,7397.464174814266,5309.513954881149,1000.0,OCEAN,BNT,1.3932469596418744,6.267131661845768
11169963,1604218027,7397.464174814266,5309.513954881149,1000.0,OCEAN,BNT,1.3932469596418744,6.267131661845768
11171463,1604237221,7135.057001444487,5506.82854178078,1000.0,OCEAN,BNT,1.2956744426143283,6.268296063747092
11172963,1604257298,6790.646863810127,5789.09137007052,1000.0,OCEAN,BNT,1.1730073736472062,6.269902324317313
11174463,1604276924,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11175963,1604297781,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11177463,1604317517,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11178963,1604337218,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11180463,1604357264,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11181963,1604376665,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11183463,1604396880,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11184963,1604417057,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11186463,1604436817,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11187963,1604456615,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11189463,1604476796,7065.370975945306,5566.244054309543,1000.0,OCEAN,BNT,1.269324684115332,6.271170479770644
11190963,1604497015,106959.83771459098,87535.7943406327,15368.151112252928,OCEAN,BNT,1.2218982933812477,6.296244492699559
11192463,1604516495,106959.83771459098,87535.7943406327,15368.151112252928,OCEAN,BNT,1.2218982933812477,6.296244492699559
11193963,1604536056,103279.23944842567,90687.61544995868,15368.151112252928,OCEAN,BNT,1.1388461250854591,6.2973652698077665
11195463,1604556283,107241.01179891528,87370.46556286249,15368.151112252928,OCEAN,BNT,1.2274286408804365,6.298558308218884
11196963,1604576002,108418.00416556878,86446.00590048774,15368.151112252928,OCEAN,BNT,1.254170196022406,6.299434259053036
11198463,1604595982,107882.29666410144,87060.38587648062,15377.092648683858,OCEAN,BNT,1.2391663048353874,6.302475332197871
11199963,1604615587,106989.93474922377,88229.73065613222,15415.017888157852,OCEAN,BNT,1.2126290531953208,6.302820008245683
