Block,Timestamp,Reserve0,Reserve1,totalSupply,Reserve0TKN,Reserve1TKN,price,sINV
11044060,1602549584,102136.00000000001,26569.16216216216,84159.52537903759,REN,BNT,3.844155844155845,0.6189778025099123
11045560,1602568949,52136.0,13562.405405405405,42959.78905735003,REN,BNT,3.844155844155844,0.6189778025099122
11047060,1602588911,50607.709000065945,13972.819099002358,42959.78905735003,REN,BNT,3.6218681886233877,0.6189965331933701
11048560,1602608702,52193.06156967916,13549.246687092718,42959.78905735003,REN,BNT,3.852100620427799,0.6190159237643654
11050060,1602628641,52193.06156967916,13549.246687092718,42959.78905735003,REN,BNT,3.852100620427799,0.6190159237643654
11051560,1602648946,50939.698826848646,13883.30819055983,42959.78905735003,REN,BNT,3.6691326107336493,0.6190311856343255
11053060,1602668207,50939.698826848646,13883.30819055983,42959.78905735003,REN,BNT,3.6691326107336493,0.6190311856343255
11054560,1602688668,49388.55843396661,14320.240857606455,42959.78905735003,REN,BNT,3.4488636696171895,0.619050667352024
11056060,1602708410,48387.17683015515,14617.20712366829,42959.78905735003,REN,BNT,3.3102887864129857,0.6190635047938582
11057560,1602727221,52494.16775747817,15726.935403166472,46413.09937274212,REN,BNT,3.3378510441970124,0.6190660792667747
11059060,1602747252,52494.16775747817,15726.935403166472,46413.09937274212,REN,BNT,3.3378510441970124,0.6190660792667747
11060560,1602767687,352494.16775747814,105605.1223047545,311660.27647155547,REN,BNT,3.3378510441970133,0.6190660792667748
11062060,1602787018,356014.83967449586,104562.86972125537,311660.27647155547,REN,BNT,3.4047921659338867,0.6190722623979446
11063560,1602806468,354423.5330956152,105033.28581145038,311660.27647155547,REN,BNT,3.37439251145447,0.6190750475251978
11065060,1602826687,355680.67167451273,104670.64360008195,311660.27647155547,REN,BNT,3.3980938631988526,0.619100462476521
11066560,1602846796,359956.89532421116,103429.66197914012,311660.27647155547,REN,BNT,3.4802095301907485,0.6191079056589477
11068060,1602866244,354623.81173668127,104988.26267857187,311660.27647155547,REN,BNT,3.3777472137279214,0.6191172003697183
