block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11898000,1613880066,17827538446195898002556,167824719090514779059,1503410796355635267696,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11899000,1613893445,18564294984017858436540,171619335603084317548,1551395028486622110728,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11900000,1613907178,38630547793673146481364,354878023417042542531,3218130638894359111270,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11901000,1613920024,165748813120360982526835,1564459261779072931346,13995797464784700925177,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11902000,1613933193,182959213270656095359236,1871512804245301568124,16082229693032898865674,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11903000,1613945917,188950439458313666527759,1955637644304768965398,16706511098558074542824,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11904000,1613958980,184755244903540093514612,1992574247895125035587,16674408030404772039672,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11905000,1613972265,185338336219464844770420,2006608686071059159241,16758359256929590970052,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11906000,1613986046,186016585781909918013556,2019279508110532845771,16841875088258630350549,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11907000,1613999100,182162204754195448875088,2062092615252670042641,16841875088258630350549,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11908000,1614012304,185159232130582344641042,2028781893159339071277,16841875088258630350549,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11909000,1614025585,214327535187504814022149,2531472917481590606731,20239940307128812158576,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11910000,1614038768,210683986637143873393383,2575477854547462042964,20239940307128812158576,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11911000,1614052613,204412287909895982661499,2654693241372303862874,20239940307128812158576,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11912000,1614066081,206994713454996428655012,2621640046769191437158,20239940307128812158576,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11913000,1614079671,206994713454996428655012,2621640046769191437158,20239940307128812158576,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11914000,1614092734,208174059374339209901097,2606907312035707897666,20239940307128812158576,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11915000,1614105044,211120121166745396617585,2599097943626921179051,20351661786812809122916,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11916000,1614118064,204985749890511222549451,2677037153078304139067,20351661786812809122916,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11917000,1614131789,203695322976304729890493,2695089918985855085792,20351661786812809122916,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11918000,1614144701,206979011408330161866673,2652493766036333310498,20351661786812809122916,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
11919000,1614158755,206979011408330161866673,2652493766036333310498,20351661786812809122916,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0xfA5047c9c78B8877af97BDcb85Db743fD7313d4a
