block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11733000,1611685824,399999999999999999600,2681318681318681316000,488400488400488400000,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11734000,1611698848,400999999999999999600,2688021978021978019296,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11735000,1611712634,400999999999999999600,2688021978021978019296,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11736000,1611726163,380404281785348885015,2834008744751304913434,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11737000,1611739725,380404281785348885015,2834008744751304913434,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11738000,1611752604,380404281785348885015,2834008744751304913434,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11739000,1611765926,380404281785348885015,2834008744751304913434,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11740000,1611779234,367385295894348448677,2934645557451708847430,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11741000,1611792515,367385295894348448677,2934645557451708847430,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11742000,1611805686,362166101728587107523,2977022860282249152328,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11743000,1611819461,362166101728587107523,2977022860282249152328,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11744000,1611832892,387166101728587107523,2785175691760992838230,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11745000,1611846506,387166101728587107523,2785175691760992838230,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11746000,1611859497,387166101728587107523,2785175691760992838230,489621489621489621001,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
