Block,Timestamp,Reserve0,Reserve1,totalSupply,Reserve0TKN,Reserve1TKN
11083353,1603070143,100880000000000000,1372000000000000000000,10000000000000000000,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11084853,1603089304,100880000000000000,1372000000000000000000,10000000000000000000,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11086353,1603109705,1433044370330208243,19490037964204395758663,142054359108320610743,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11087853,1603129053,1433044370330208243,19490037964204395758663,142054359108320610743,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11089353,1603148596,1446417144277866328,19311002413714627432553,142054359108320610743,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11090853,1603168229,1465483165996055835,19062050680984878755957,142054359108320610743,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11092353,1603188338,1406278851000906257,19866229221255187083742,142054359108320610743,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11093853,1603207999,1366197669301024961,20450262255160580181257,142054359108320610743,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11095353,1603227729,1391159059309306617,20084059674248090504104,142054359108320610743,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
11096853,1603248542,1391159059309306617,20084059674248090504104,142054359108320610743,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
