block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11843000,1613148664,27450000000000000000000,2734100000000000000000,10000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11844000,1613161539,40745043987278135655223,1844198524279615162386,10000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11845000,1613174936,40745043987278135655223,1844198524279615162386,10000000000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11846000,1613188056,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11847000,1613202096,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11848000,1613215266,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11849000,1613228654,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11850000,1613242198,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11851000,1613255952,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11852000,1613268672,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11853000,1613281191,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11854000,1613294883,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11855000,1613308097,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
11856000,1613321565,41265538028810314964991,1844159219827753172563,10063465719575341720003,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28
