block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn
11874000,1613560114,1176107300000000000,78901513323702,10000000000000000,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11875000,1613573596,13535750756407643984624,908072944239872626,115089420467058099075,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11876000,1613586767,31905259110062111967295,2140428196278290546,271278471871249434191,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11877000,1613599998,51611846993610077083461,1399306082127438073,278774761046413291385,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11878000,1613613641,51611846993610077083461,1399306082127438073,278774761046413291385,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11879000,1613626921,62685095437357568876356,1735020060105177166,342098476398736244963,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11880000,1613640635,53037445025186794109430,2051560060105177166,342098476398736244963,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11881000,1613653130,53037445025186794109430,2051560060105177166,342098476398736244963,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11882000,1613667120,53340487345186794102899,2063282146641177732,344053139107452824114,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11883000,1613680790,48440713671766395789810,2272545157377457176,344053139107452824114,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11884000,1613693764,66975713671766395784537,3142095196986838497,475699113123592855085,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11885000,1613706883,66975713671766395784537,3142095196986838497,475699113123592855085,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11886000,1613720092,66975713671766395784537,3142095196986838497,475699113123592855085,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11887000,1613733077,62111845132005497162370,3388812196986838497,475699113123592855085,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11888000,1613746375,62111845132005497162370,3388812196986838497,475699113123592855085,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11889000,1613759580,75175545794028941849714,4101565586411395449,575750734611076948488,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11890000,1613772772,75175545794028941849714,4101565586411395449,575750734611076948488,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11891000,1613785730,58910794200942215911474,3214163377340461566,451183063314832533792,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11892000,1613799340,61851670905751564367337,3439651170542782910,478243506381020151294,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11893000,1613812701,61851670905751564367337,3439651170542782910,478243506381020151294,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11894000,1613826759,61851670905751564367337,3439651170542782910,478243506381020151294,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11895000,1613840165,78035435204848247839895,4339651170542782910,603378043112254222386,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11896000,1613853155,78330461296481404429000,4356057951904808891,605659215317796185365,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11897000,1613865640,78330461296481404429000,4356057951904808891,605659215317796185365,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11898000,1613880066,84255347280330442997305,4116682592085923847,610594427510192685135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11899000,1613893445,84255347280330442997305,4116682592085923847,610594427510192685135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11900000,1613907178,84255347280330442997305,4116682592085923847,610594427510192685135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11901000,1613920024,84255347280330442997305,4116682592085923847,610594427510192685135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11902000,1613933193,78238608654946783776699,4434104124345461408,610594427510192685135,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11903000,1613945917,91696912439678642631622,5601688636915468106,742943244710956503516,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11904000,1613958980,237306057841374743965309,14507238386958123218,1923381304264398259188,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11905000,1613972265,237306057841374743965309,14507238386958123218,1923381304264398259188,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
11906000,1613986046,237306057841374743965309,14507238386958123218,1923381304264398259188,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a
