block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
11050000,1602627937,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11051000,1602641337,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11052000,1602654558,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11053000,1602667579,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11054000,1602681529,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11055000,1602694261,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11056000,1602707585,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11057000,1602720186,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11058000,1602732764,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11059000,1602746405,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11060000,1602760147,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11061000,1602772966,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11062000,1602786263,0.05453,478.0,1e-05,renBTC,BNT,0.00011407949790794979,510542.260738521
11063000,1602799114,0.16761473,1469.2799999999745,3.0738075313807e-05,renBTC,BNT,0.00011407950152455821,510542.268831261
11064000,1602812329,0.16761473,1469.2799999999745,3.0738075313807e-05,renBTC,BNT,0.00011407950152455821,510542.268831261
11065000,1602825913,0.16761473,1469.2799999999745,3.0738075313807e-05,renBTC,BNT,0.00011407950152455821,510542.268831261
11066000,1602838713,0.16761473,1469.2799999999745,3.0738075313807e-05,renBTC,BNT,0.00011407950152455821,510542.268831261
11067000,1602851884,0.16761473,1469.2799999999745,3.0738075313807e-05,renBTC,BNT,0.00011407950152455821,510542.268831261
11068000,1602865569,0.16761473,1469.2799999999745,3.0738075313807e-05,renBTC,BNT,0.00011407950152455821,510542.268831261
11069000,1602878937,0.16761473,1469.2799999999745,3.0738075313807e-05,renBTC,BNT,0.00011407950152455821,510542.268831261
11070000,1602892022,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11071000,1602905004,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11072000,1602918418,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11073000,1602931980,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11074000,1602944959,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11075000,1602958258,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11076000,1602972005,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11077000,1602984934,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11078000,1602998570,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11079000,1603012020,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11080000,1603025653,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11081000,1603038991,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11082000,1603051812,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11083000,1603065231,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11084000,1603078333,0.15581562,1580.7808328369094,3.0738075313807e-05,renBTC,BNT,9.856876852458372e-05,510581.008005647
11085000,1603091367,0.18109448,1837.239950527773,3.5724889115406e-05,renBTC,BNT,9.856876884697508e-05,510581.008840632
11086000,1603104567,0.18208433,1827.272290042657,3.5724889115406e-05,renBTC,BNT,9.964816463984648e-05,510583.79963376035
