block,timestamp,reserve0,reserve1,totalsupply,reserve0tkn,reserve1tkn,price,sINV
11052000,1602654558,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11053000,1602667579,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11054000,1602681529,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11055000,1602694261,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11056000,1602707585,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11057000,1602720186,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11058000,1602732764,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11059000,1602746405,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11060000,1602760147,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11061000,1602772966,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11062000,1602786263,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11063000,1602799114,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11064000,1602812329,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11065000,1602825913,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11066000,1602838713,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11067000,1602851884,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11068000,1602865569,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11069000,1602878937,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11070000,1602892022,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11071000,1602905004,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11072000,1602918418,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11073000,1602931980,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11074000,1602944959,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11075000,1602958258,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11076000,1602972005,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11077000,1602984934,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11078000,1602998570,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11079000,1603012020,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11080000,1603025653,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11081000,1603038991,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11082000,1603051812,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11083000,1603065231,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11084000,1603078333,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11085000,1603091367,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11086000,1603104567,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11087000,1603117975,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11088000,1603130753,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11089000,1603144027,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11090000,1603157253,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11091000,1603169972,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11092000,1603183777,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11093000,1603196826,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
11094000,1603210011,1.308072461370721,35.2,10.0,wNXM,BNT,0.03716114947075912,0.6785584030888526
