block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10830000,1599687111,79052.88157250725,41501.853981073364,47423.50023729473,1722.7358536585211,1.9048036169313969,1.2078110437785248
10831000,1599700996,108043.9107578618,54233.02186017036,63374.31624099176,5463.211069469589,1.9922163112435944,1.2078660181128005
10832000,1599713998,111805.9183116201,55944.79841983753,65476.52940157204,7075.491017824527,1.9985042661620296,1.2078878192175966
10833000,1599727959,112560.0854224124,55466.972864061034,65414.40496839945,8981.583110075291,2.0293172605304366,1.2079140813044944
10834000,1599740967,113524.10029413026,54780.625117107185,65280.80202654785,16591.72277373287,2.0723403585016484,1.2080142151496742
10835000,1599754060,110111.33203133589,52685.42167438519,63046.18177462838,22852.610797105517,2.0899772371921683,1.2080987877796014
10836000,1599766711,104245.14928516991,49027.58817989077,59174.29818508959,25323.165159611166,2.1262548935239547,1.2081339166410736
10837000,1599780441,91018.65896454014,42304.723622465695,51359.53334338238,29546.323200269548,2.1515010894954805,1.20819929580383
10838000,1599793183,104368.0162352934,47907.329369626386,58524.23872452126,31324.68533087625,2.1785396432777056,1.2082280720482317
10839000,1599806555,108851.8722004915,51006.72215252954,61667.06727863378,37079.22645569747,2.1340691502383327,1.2083099845886285
10840000,1599820027,106268.1015319308,49969.20438313656,60304.81597851162,41543.26089297041,2.1266718740831867,1.2083720789693353
10841000,1599833013,110695.51687294488,53130.72173560817,63463.29977722412,44443.31972179167,2.083455922616554,1.2084125429214716
10842000,1599846326,117433.7742291366,55372.51307718863,66725.72907500593,51688.435396377245,2.1207954579456283,1.208510140554245
10843000,1599859185,122159.833214581,57428.61067197085,69306.08096786584,53200.84196550291,2.1271598213014657,1.208528868140421
10844000,1599872294,125397.84316499508,58495.70614843074,70867.23381764378,54241.40939962916,2.143710221170809,1.2085414389071107
10845000,1599885795,126674.27967415695,59020.720576655774,71545.02025283875,55510.58844667293,2.146267928220788,1.2085567949161686
10846000,1599898822,129591.06967888305,60582.60903709942,73311.8378592519,60266.39969100626,2.1390803687494606,1.208613432411196
10847000,1599911903,129754.87102924526,61217.51700845966,73740.04481212393,62434.08987180815,2.1195709556680384,1.2086381357226634
10848000,1599925296,133714.14737453533,62719.35658088341,75765.73689396196,67302.90521936066,2.131943863328644,1.2086947211841133
10849000,1599938410,136145.10966623874,63471.64319442188,76907.94250264406,68107.86409954989,2.144975343543709,1.20870328095081
10850000,1599952172,125966.41656316814,58476.500125315186,71005.76954304098,69280.40536829791,2.154137410638838,1.2087164558969052
10851000,1599965376,114495.16113889779,52599.90152420208,64197.42257922634,78625.27382637344,2.1767181652653225,1.2088389352490114
10852000,1599978747,102596.87464117374,47608.354718849725,57812.90522523521,81605.45128145439,2.155018278767617,1.2088818522952929
10853000,1599991924,102943.36368343023,48752.39394346153,58598.51228937808,86807.07606463016,2.111555051077376,1.2089561817597831
10854000,1600004886,103679.59303602736,48410.26958041288,58600.30293577419,87769.44616875345,2.1416859260370003,1.2089700199058526
10855000,1600018238,109389.85541897184,50040.94234084173,61195.23184277509,91324.92543155293,2.1860071034212223,1.209020540783052
10856000,1600031291,115897.34580337115,52711.9055834459,64645.66621085472,95130.62727084671,2.1986939102381555,1.209070675267458
10857000,1600044785,107859.48067016313,48277.786678929806,59680.35053141041,99261.21257458274,2.234143031193205,1.2091257574931542
10858000,1600057881,106738.67033651136,47585.01249578079,58941.04805872758,100583.30607555492,2.243115315898584,1.209144303227567
10859000,1600071351,100043.17951163636,44593.132579659265,55238.658801505255,101796.27836668653,2.243466061347529,1.2091623289675304
10860000,1600085050,96549.10711395204,43338.00750529988,53494.100763767194,105072.88698096623,2.2278160135106546,1.2092127275623228
10861000,1600098201,96835.22612373935,43249.31568402076,53517.71852117484,106136.96103535936,2.2390001920774183,1.2092294471759388
10862000,1600111706,99885.9318057063,43811.22075768055,54704.815200791345,108088.46796233613,2.2799166532741566,1.20925887843624
10863000,1600125024,97076.20474599989,43102.95429888786,53489.37965073784,112267.61324901966,2.2521937608463327,1.209323110172006
10864000,1600137926,103800.44468891693,46265.654642816735,57303.16104434305,113749.91744720304,2.243574536884525,1.2093454724184147
10865000,1600151476,102635.16153400033,45014.87827459201,56203.45527037002,116193.30285935345,2.2800275257421108,1.2093809106144842
10866000,1600164814,99139.44909427072,43231.03480670666,54132.1543304715,116681.58888678765,2.29324719006936,1.2093882780804877
10867000,1600177702,99362.2744716917,43008.946614453824,54052.89448989131,117668.42453970351,2.3102698925041665,1.2094034690610045
10868000,1600190832,99898.08469225824,43487.61332622017,54498.444949056524,118797.27447061425,2.2971618134772696,1.2094203093202498
10869000,1600204260,99985.41902843851,42893.58985431679,54147.72019290709,120104.75788971562,2.331010749345709,1.2094400803806244
10870000,1600217129,99706.72689523817,42009.91851893728,53511.45333227048,121390.23347357732,2.373409195028364,1.2094597035205283
10871000,1600230491,99683.66522546305,41596.35492518176,53238.57826401426,125419.1903074726,2.3964519344245754,1.2095203716631908
10872000,1600244121,101941.19896032756,42519.58600090157,54431.68683853299,126234.27386190028,2.397511559923609,1.2095326297978872
10873000,1600257235,103133.0476768348,42904.77790645253,54996.29819603951,126368.57492312744,2.4037660304803588,1.2095346015771304
10874000,1600271088,99784.67525460084,41028.59928601166,52899.52850600692,127351.57952688533,2.432076088169589,1.2095490039659986
10875000,1600284355,94912.14713337435,39652.661069416965,50717.719616406444,129886.26754613813,2.393588338679686,1.2095876657113167
10876000,1600297880,96023.38103391981,40553.13679083357,51589.27322436754,130581.8202055617,2.367841026187264,1.2095987056087396
10877000,1600310338,93827.57635135806,38747.31599796908,49846.469052271175,132235.20417720336,2.421524534919425,1.2096275276661352
10878000,1600323285,93958.26751801725,38464.9076321406,49698.87152578905,132674.12903268586,2.4427009786839418,1.209632145266581
10879000,1600336910,94893.05501790838,37859.76800677834,49550.148223124284,134042.3479710831,2.5064351952954094,1.2096541802450864
10880000,1600349788,91162.68318870444,36903.66474802847,47947.72406948453,136154.3153083563,2.4702880814452097,1.209693369962154
10881000,1600362916,78976.23875892689,31280.171016171134,41083.00608825748,143638.381604383,2.5248020133297224,1.2098194682099548
10882000,1600375976,75560.25374294865,30373.176936341093,39583.93325554743,165354.96341404488,2.487729680083014,1.2102438049260626
10883000,1600389220,71406.27582950056,29504.482246917432,37919.95989957056,174939.36881637413,2.4201839988892173,1.2104429384167636
10884000,1600403248,67333.98773486612,29251.185613804955,36657.08517021004,185775.9434607664,2.3019233689826297,1.2106844824646794
10885000,1600416922,67799.27213448336,28668.36775823792,36414.22276579085,187503.63550287343,2.3649505512918867,1.2107178754367938
10886000,1600430004,67544.75919374009,28610.573551647085,36308.58707506578,188316.0875904182,2.360832056435709,1.2107368532154064
10887000,1600443436,68787.42341945329,28364.642356859087,36481.539850567206,190896.36238909455,2.4251116074029824,1.21079331918254
10888000,1600456406,77824.27693955718,31341.41159867828,40788.1997451278,192482.6255094545,2.4831133305699336,1.2108275285571597
10889000,1600469993,77832.27654259845,31149.523321211094,40664.59270227151,193429.76577228558,2.4986666967580518,1.2108466442761097
10890000,1600483205,77407.31862220133,30845.634834775683,40354.78468947959,194003.37513897105,2.5095064192010583,1.2108569360808674
10891000,1600496457,77094.28788800434,30873.76100466167,40291.260945844035,194307.02034440078,2.4970811906059582,1.2108630045643576
10892000,1600509771,77187.63056474779,30919.711497280718,40345.56781718983,194416.07696956187,2.496389093783627,1.2108650365929845
10893000,1600522839,78254.33604379593,31038.456892431543,40696.48059190393,201840.3425692564,2.5212057517871505,1.211009117939813
10894000,1600536077,78970.50990590543,31209.6395529044,40992.339663192135,205730.53318376766,2.5303243176532084,1.2110836496259754
10895000,1600549386,83688.5128729397,33282.723362610916,43577.21993115199,207079.83600967878,2.514473108500296,1.2111078875540249
10896000,1600562666,84008.21572210947,33117.177262072815,43551.09220452523,207960.90567374305,2.5366961398101777,1.2111236523251785
