block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11509000,1608716012,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11510000,1608728710,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11511000,1608742373,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11512000,1608755539,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11513000,1608768583,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11514000,1608782222,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11515000,1608795613,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11516000,1608808964,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11517000,1608822260,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11518000,1608835449,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11519000,1608848561,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11520000,1608861888,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11521000,1608875500,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11522000,1608888908,48.01732855751636,0.09759,2.164719634023773,0.0,492.0312384211124,1.0000000000000004
11523000,1608902154,4731.143043502977,9.615533880907288,213.28962991721303,0.0,492.0312384211123,1.0
11524000,1608915452,24128.498602552325,45.21219744857886,1044.2772188959739,1502.2176424966885,533.6723265882924,1.0001776677350869
11525000,1608928354,84682.6157378066,150.8179988566825,3572.387598422839,12620.409571064756,561.4887903285189,1.0003803353594585
11526000,1608942603,94541.54136353538,167.1182174921159,3973.205042688766,15422.509915872826,565.716549531744,1.000419754153173
11527000,1608955581,97109.95537162037,170.3984061800169,4065.956910776227,18979.945811961057,569.8994347930038,1.0004649298477442
11528000,1608968406,114966.68430843168,202.67621123026075,4824.826915521167,19685.20611121349,567.243109640617,1.0004736468280555
11529000,1608981312,116741.80127980832,200.96729620087368,4840.318838110905,39921.505897592004,580.8994970162751,1.0006954374378467
11530000,1608994571,120157.0492028051,209.6926539943382,5015.4278708814145,52552.17746738781,573.0150623495349,1.0008252332061434
11531000,1609007854,133508.06766081473,219.85799766058224,5412.102681041127,75490.9820113875,607.2468096745114,1.0010571262498376
11532000,1609021241,139641.64356371015,241.98940979866703,5806.335972825257,86452.53554526463,577.056837652072,1.0011600104910507
11533000,1609034138,146759.32324893493,237.44386001976653,5895.161180739093,107794.26134921137,618.0800936975909,1.0013540032225476
11534000,1609047959,246969.4516813357,401.9545007737609,9949.62910386393,113764.73572940855,614.4214113933805,1.0013898267592485
11535000,1609061252,363492.3402074513,542.2596450020399,14016.839716366709,165756.77167528606,670.3289532196037,1.0016158013270748
11536000,1609074574,503075.59826346155,775.6154870157523,19721.07408257271,176064.52787121804,648.614689475952,1.0016345528440294
11537000,1609087712,631326.2069057865,821.2934162837922,22728.842434985963,263829.72367586085,768.6975134446178,1.0018409088940774
11538000,1609100774,663746.1156533468,873.0156296590748,24027.15568813112,283319.3414510768,760.2912171372569,1.0018660113833848
11539000,1609113885,665034.0811227213,874.3456244710577,24067.18143886288,315702.0481724025,760.6077762727284,1.0019320971678023
11540000,1609127071,763529.1257317069,1008.0249818766921,27686.819444800964,365405.29912359006,757.450598407001,1.0020176774117882
11541000,1609140168,1052220.475163749,1391.281696239816,38183.14932726661,391207.2886731679,756.2957796451723,1.0020494733016578
11542000,1609152784,1108925.242352258,1393.5670992661535,39228.82944233943,432898.5095016592,795.745854603064,1.0020969207754309
11543000,1609165810,1214259.8248461694,1519.6562482402496,42866.161696327836,443571.6908750609,799.0358518594408,1.0021065372406126
11544000,1609179535,1269579.5700336688,1451.2966899895075,42830.673828623054,532969.4736649678,874.7898198836566,1.0021971376404963
11545000,1609192203,1386589.6605880205,1568.3849907007552,46530.380252029805,559099.1357972077,884.087560649564,1.0022215015673412
11546000,1609205885,1399980.4438780735,1598.5271672062258,47192.14591860084,785213.8830552833,875.7939637177667,1.0024235692204098
11547000,1609219479,1443229.4266696703,1811.3925582779948,51002.05644561436,881054.075103311,796.7513281834837,1.0025044052504264
11548000,1609232681,1509783.8576143822,1737.5951968685188,51087.495925673866,952711.5393331128,868.8927434510083,1.0025754744279212
11549000,1609245928,1669458.6684031594,1927.4664416695873,56575.025002012975,1075001.8929176426,866.1414965840138,1.002666474400208
11550000,1609259210,1689498.109919195,1905.1519343091315,56575.025002012975,1235420.2724888509,886.8049206436971,1.0028105830435594
11551000,1609273006,1775248.5990784913,2030.8000144528326,59867.00896533086,1461687.421751434,874.1621954128279,1.0029415124800574
11552000,1609286769,1775692.8006645662,1996.5783770807684,59361.20755021294,1600816.0521891112,889.3679411978993,1.003054132901799
11553000,1609300140,1740024.1979804244,2143.8683859660314,60868.57402365151,2121021.6255927715,811.6282740912593,1.003421902330721
11554000,1609312804,1705407.4402460791,2188.155741142425,60868.57402365151,2321187.288613792,779.3811967678745,1.0035986393472307
11555000,1609326297,1698794.8178223919,2183.4293519157786,60682.00402016188,2436831.710153959,778.0397457475964,1.0036449898663655
11556000,1609339826,1788654.9348552516,2075.4085622156163,60682.00402016188,2910951.708841613,861.8326855825252,1.0040496051451149
11557000,1609352451,1724232.4997216284,2153.3990135074896,60687.303823555325,3032266.4264273886,800.7027443154496,1.0040661474818828
11558000,1609365524,1729653.2440561724,2147.211095726117,60687.303823555325,3185532.9099571686,805.5347923168495,1.0041973035056997
11559000,1609378868,1709518.0084852742,2160.3852218851994,60509.19470842197,3378044.983443557,791.3023988349222,1.004340707878992
11560000,1609392500,1734477.1800723162,2128.9314975887887,60504.22037833265,3405801.9497416127,814.7172335214972,1.0043370165116856
11561000,1609405681,1741901.5517149018,2120.267369107849,60504.22037833265,3516563.070500205,821.5480637462468,1.0044341005045851
11562000,1609418376,1706324.417494418,2164.7148308181168,60504.22037833265,3580225.518617453,788.24443441797,1.0044896814023372
11563000,1609431762,1749015.4890952918,2112.2413498223614,60504.22037833265,3679653.224893676,828.0377094418608,1.0045763013819622
11564000,1609445658,1693948.9629092582,2071.624911856504,58959.6645249596,3946478.826688342,817.6909599871589,1.0047331217711173
11565000,1609459028,1795302.464589159,1954.9346659518967,58948.42975197169,4303251.170624076,918.3439712114316,1.0049922123956394
11566000,1609471724,1693878.4359208497,2071.9845789648502,58932.251316005146,4659987.103780567,817.5149820695574,1.0052668162566354
11567000,1609485046,1740591.925918812,2121.8304018051613,60450.0660829787,4763942.7917641215,820.3256605419513,1.00532628168507
11568000,1609498801,2002935.660090684,2305.4722965873707,67572.80970520747,5184366.4550923435,868.7745513383484,1.0056375374737254
11569000,1609511574,1976159.5163795457,2328.15925281118,67438.97091941044,5459178.492528542,848.8077067723763,1.0057878996928562
11570000,1609524661,2025712.467744432,2272.3580438089725,67438.97091941044,5804459.095081572,891.458312770505,1.006042544451684
11571000,1609537804,1821625.511744547,1985.287558222957,59748.18010332424,6659634.152689966,917.5625486592453,1.0065064885160582
11572000,1609551469,1811978.0361682703,1996.5383079613785,59748.18010332424,6866514.197102121,907.5598644628267,1.0066780677427167
11573000,1609563999,1805192.9339446728,2001.351830366449,59704.36926736505,7003906.382368584,901.9868003988788,1.0067402194844612
11574000,1609577641,1794310.9072726169,1968.7308974882988,59030.21717794074,7144586.008747428,911.4048596290096,1.0068566577313138
11575000,1609590653,1743482.4691299074,2026.993671701049,59030.21717794074,7396212.209298676,860.1321718319829,1.00707220063817
11576000,1609603954,1419864.236238445,1544.4253015507074,46490.373051863455,7708281.211785837,919.3479508609482,1.0072652073607369
11577000,1609616762,1396252.9834514095,1553.0880185242588,46220.38000157499,7984452.71087393,899.0172912274005,1.0075035381857635
11578000,1609630001,1392329.9946253577,1557.6896386093624,46220.38000157499,8052587.941530455,893.8430096179937,1.007576531618661
11579000,1609643486,1396884.420170264,1540.8163785412894,46041.31119835661,8129128.853931511,906.5872089786012,1.0076460264263654
