block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10830000,1599687111,27614.44934633604,12082020.990005225,3.3771044848385317,1036.0471394089286,0.002285581970862319,171038.34640096454
10831000,1599700996,31760.363248880392,14364250.6824827,3.9487311175995616,2778.208443218485,0.00221106996465972,171051.40908093975
10832000,1599713998,42054.61184628288,12467799.672032716,4.28615590509053,18056.05847769097,0.003373058033697649,168940.49337767606
10833000,1599727959,38103.238533064505,13561269.164488385,4.252766858854339,33890.28085663641,0.0028097103649296967,169028.34447182773
10834000,1599740967,42889.03026162484,13954391.735442862,4.5753568788690995,44936.13850415392,0.0030735148528681965,169084.42069158822
10835000,1599754060,40891.668330904984,14192137.964105742,4.50473796167114,50304.64820522557,0.0028812902209890265,169110.97506812707
10836000,1599766711,34980.340975426945,14411302.539983548,4.197500556121524,57097.78504962458,0.002427285172757665,169150.33983963454
10837000,1599780441,36789.44172817314,13178459.651088942,4.115393877576993,64400.77921349214,0.0027916344324151136,169193.04915524824
10838000,1599793183,33794.23631097373,12734690.960254392,3.8765156560126015,70367.67030245153,0.002653714677211032,169228.6855270922
10839000,1599806555,32067.253240992948,12909409.526846034,3.8016892341669832,72400.48873062963,0.002484021687770213,169241.73032562152
10840000,1599820027,32204.845622956378,13126604.313111724,3.8414218262618673,74613.34319962485,0.0024534026359572703,169256.28653159007
10841000,1599833013,32112.82050926024,13469699.348461205,3.8854613228229886,76408.10273614057,0.0023840784919174052,169268.2821817426
10842000,1599846326,34560.959884104515,13818974.840834301,4.0823863705123005,78919.52159243755,0.00250097856622322,169284.30920291107
10843000,1599859185,35452.375895128374,14222965.063668847,4.194508354358377,80200.98560116193,0.0024926149882550123,169292.0954513305
10844000,1599872294,35989.31174534813,14572228.069086695,4.277220624590484,83587.06854487311,0.002469719220336341,169312.1397175336
10845000,1599885795,35992.34563209207,14855291.523250472,4.336095077598141,85937.99404446912,0.0024228636358808128,168634.67049775936
10846000,1599898822,35818.236895137365,14953398.9667776,4.33981024056018,86219.28518675009,0.0023953240982010704,168636.39995574372
10847000,1599911903,36081.4857721249,15280217.659385566,4.402936330261991,87107.08952627401,0.002361320144544053,168641.5446359549
10848000,1599925296,32986.15201546014,15015687.991968658,4.172943237383136,89067.71921021624,0.002196779264000639,168653.73697410495
10849000,1599938410,32910.60422746109,15268824.205427585,4.202814375627201,91142.27748980252,0.0021554118237711068,168667.1537651463
10850000,1599952172,31709.383754897284,14842316.8577896,4.067249926957752,91943.66592809476,0.00213641738407272,168672.34791746328
10851000,1599965376,23747.703619887885,11594348.756268965,3.135817094557052,94604.20327072428,0.002048213670219961,167333.64319952778
10852000,1599978747,19073.96320660088,10146509.137262553,2.628652955155661,97090.82027843401,0.0018798547311757398,167357.6399993051
10853000,1599991924,18529.867076333747,9681439.5945774,2.530551113814444,98671.27179556232,0.0019139578257258746,167375.16112780885
10854000,1600004886,17226.141654508614,9111220.72711419,2.366874873967672,99173.54373521489,0.001890651337558439,167381.32125539042
10855000,1600018238,17490.531907749915,9114131.635209113,2.3852304714688417,99879.3518454956,0.0019190563191101653,167389.72970976992
10856000,1600031291,17725.8786753363,8829614.472078862,2.3632759750996017,100906.49369075763,0.002007548430499354,167401.87457111516
10857000,1600044785,17279.88917935923,8604642.727657083,2.3034037452743044,101118.143379095,0.002008205305702947,167404.38478105914
10858000,1600057881,17405.553624056523,8221804.917900923,2.2909748105371888,102918.99851756904,0.002116999101518486,165122.85560547895
10859000,1600071351,17274.616667099366,8209452.710511065,2.2804943617531217,103720.84266887998,0.0021042348712212713,165132.40626971313
10860000,1600085050,17082.259679606705,7979562.155089367,2.235499776428304,105509.49501330039,0.002140751503353055,165153.41562382822
10861000,1600098201,16136.22972189518,6808209.790401902,2.006672793823977,107073.93216344216,0.002370113468689488,165173.71480174598
10862000,1600111706,15844.601961424336,6916222.196173421,2.004037188612384,107945.90725896707,0.002290933042924904,165184.52508061932
10863000,1600125024,15402.097608049153,7238639.805132733,2.02127016850558,108655.13030500418,0.0021277612953096415,165193.91758084818
10864000,1600137926,15721.940446266191,7245627.380502943,2.062523136863594,110304.80096053527,0.0021698521909326893,163641.04428937813
10865000,1600151476,15652.687281559438,7305694.052513209,2.066428886947442,110689.68791637084,0.002142532546401229,163645.7498841703
10866000,1600164814,15455.278701809522,7272157.130705773,2.048605040739752,110896.3689356557,0.0021252674308358307,163648.41773386954
10867000,1600177702,14636.049204342275,6900967.0499612875,1.9419708173554973,111224.02099706623,0.0021208693069219024,163653.08931283868
10868000,1600190832,13858.581574591006,6643668.467476297,1.8538167545379984,113158.02266689535,0.002085983315157117,163680.35730163177
10869000,1600204260,13629.167010425195,6652174.829225828,1.8395645847844704,113280.74770411124,0.002048828745532435,163682.19638405845
10870000,1600217129,13349.75512901777,6738728.08461293,1.8323186240646727,113805.90532480033,0.0019810496819867717,163690.93151841545
10871000,1600230491,13185.55738243185,6491608.317170583,1.8077565934971007,114076.12844259241,0.0020311695866732267,161839.84220622372
10872000,1600244121,13219.32640065238,6433504.610855913,1.8019304249111736,114204.24643372328,0.002054762870356237,161841.70795887592
10873000,1600257235,13096.741843308177,6416788.704520341,1.7912169623101082,114249.2758362819,0.0020410118591067377,161842.39985702015
10874000,1600271088,13111.25773428356,6342704.313857316,1.7818106978705737,114378.32187947506,0.002067139990372648,161844.46380091403
10875000,1600284355,12916.419977432368,6329386.508834788,1.7666183458238485,114652.37988193658,0.0020407064664803073,161848.67606415163
10876000,1600297880,12615.572493929043,6241966.969500284,1.73380464292239,114765.5725041368,0.0020210892745142197,161850.50293414496
10877000,1600310338,12467.28795524514,6124367.804546855,1.730620571065932,115124.75031755734,0.002035685699018465,159666.85315226382
10878000,1600323285,12538.045243245613,6062611.946817483,1.7267159169865116,115321.44349002404,0.0020680929858668184,159670.21476156748
10879000,1600336910,12327.504465333477,6125103.8044625325,1.720903235560942,115642.24488104078,0.0020126196810496657,159675.34374043485
10880000,1600349788,12049.743937383522,6120092.808678187,1.7006823075699609,115795.64746373153,0.001968882550326229,159677.86580444622
10881000,1600362916,12126.072144047883,6063505.090391418,1.6981064720081855,116065.92436146569,0.001999845297938904,159682.39211032202
10882000,1600375976,11933.278316118609,6045119.032863481,1.6819809270690511,116164.50095427176,0.001974035292149739,159683.9424761111
10883000,1600389220,11770.596863317007,6033777.679640416,1.6688931853475997,116245.47382077525,0.0019507839844736337,159685.4526043944
10884000,1600403248,11292.838302695374,5567303.498766742,1.5900437916932484,116375.94812675125,0.002028421533907204,157693.90871135212
