block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10830000,1599687111,8576.88703414278,1527048.4129747844,41297.28045883183,1725.5618608949915,0.005616643821681117,2.7712122806289403
10831000,1599700996,9247.702428720526,1634635.9115836448,44360.31155394236,2747.242894196768,0.005657346913271529,2.771614683976878
10832000,1599713998,10013.031345744064,1786045.9493333222,48240.76125659812,4198.9384581973445,0.005606256294515619,2.7721386580461056
10833000,1599727959,11187.918514821746,2035464.6690123687,54424.182534122,6171.7004056131445,0.005496493594384152,2.7727742803933455
10834000,1599740967,11923.692286093179,2116971.553935504,57288.79041951537,7857.8268811342405,0.005632429148103918,2.7732769259029606
10835000,1599754060,11942.878333279179,2157361.72235092,57865.91601121997,10036.677487516983,0.005535871991028369,2.7739150450878665
10836000,1599766711,11382.615127130004,2105844.9881522013,55805.350917401796,11472.1028805406,0.005405248340295842,2.774331686443651
10837000,1599780441,10743.766073762381,2006724.8459637824,52916.44456624539,12935.07063152469,0.00535388102428283,2.7747990004727687
10838000,1599793183,10537.556233282365,2055360.3974545626,53031.14814085008,13993.4700946249,0.005126865461810241,2.7751273330525916
10839000,1599806555,10489.381381974074,2060380.6276352918,52965.067821616896,15356.769263407085,0.00509099204354915,2.775614414749505
10840000,1599820027,10435.90043391601,2055047.7139726384,52755.62358126618,16353.521335631747,0.0050781791405427965,2.7759213525133832
10841000,1599833013,10405.262893064388,2033248.3831849385,52392.5238296208,17227.30738323609,0.005117556211585565,2.7762107200649404
10842000,1599846326,10679.242744567813,2058979.4874236886,53405.021467060964,18402.801555583217,0.00518666786619146,2.776605280095175
10843000,1599859185,10175.834405982321,2040291.4769289426,51886.91229666157,19456.74911690293,0.0049874415107095576,2.7769834778040234
10844000,1599872294,10276.873862923809,2068746.747258201,52499.68144464094,20543.27509102361,0.004967680977163679,2.777330151159226
10845000,1599885795,10121.479885597042,2058116.857668444,51962.610416602765,21277.09779245011,0.004917835373577014,2.777576715308233
10846000,1599898822,10378.965475453902,2067010.219894659,52728.491288437996,21918.954997001478,0.005021245359871925,2.777812964494725
10847000,1599911903,10852.444217369944,1924832.0473413973,52017.318038327365,24078.14910654764,0.0056381252755841604,2.778511795789026
10848000,1599925296,10685.584097921266,1988210.7316337503,52451.96783890547,25236.614553171818,0.00537447259885813,2.7788720708110564
10849000,1599938410,10875.008994413149,1958238.2558955324,52507.059076762336,26447.194114551767,0.005553465704018658,2.7792645222315966
10850000,1599952172,10271.015252642244,1946640.3485107173,50873.455293575775,26997.381113843443,0.005276277798567215,2.7794464545575046
10851000,1599965376,9203.60993334368,1717763.016085183,45228.273061614665,28656.194450911073,0.005357904348365177,2.7800379250615186
10852000,1599978747,7381.384309843159,1387953.1470596262,36403.57006625127,29628.64994439712,0.005318179742220114,2.7804323640676007
10853000,1599991924,6501.9326255016285,1271406.6884057058,32696.44836855516,30249.47811404035,0.005113967611460968,2.780756096850253
10854000,1600004886,6390.021919446604,1249440.496438669,32128.349354312464,30939.92696164821,0.0051143067138133755,2.781125258674599
10855000,1600018238,6314.647906116566,1253677.3389591079,31988.00494872814,31648.970045507383,0.005036900412796352,2.7815079360371007
10856000,1600031291,6235.396453719749,1250942.1942478972,31746.526388755323,32431.03363262842,0.00498456002394951,2.781982819146463
10857000,1600044785,6351.030582570031,1249820.5360781944,32016.291215682486,33954.68416096448,0.005081554030548175,2.7827545954213178
10858000,1600057881,5898.811203077797,1172487.3663156629,29879.450755552018,34984.389670490746,0.005031023252398686,2.7833237414825174
10859000,1600071351,5801.826560177858,1145364.2222730208,29284.618648029067,35537.060961013965,0.005065486111189944,2.7836498448364706
10860000,1600085050,4361.36229446414,867328.5888740766,22093.42075807579,35749.47415105131,0.005028500559546696,2.7838123018087155
10861000,1600098201,4037.8809227399292,788021.8003451603,20259.29602048998,36352.06865971609,0.0051240726093761645,2.7843352114405397
10862000,1600111706,3501.917679442526,711114.1894082831,17920.613917158462,36680.134227499664,0.004924550419049389,2.78464447497284
10863000,1600125024,3513.4203355561767,714840.3302920634,17995.401079803472,36928.30174101392,0.0049149721786411965,2.784890015461253
10864000,1600137926,3761.205712355913,758058.1908481673,19170.633924905826,37390.76833918085,0.004961631913966418,2.7853408057598066
10865000,1600151476,4103.502065693785,883065.4338480281,21609.392239322293,37746.871579692495,0.004646883354739012,2.7856799494661177
10866000,1600164814,3917.4469195173997,852963.0482563965,20749.22197070308,38041.760133327516,0.004592751031273085,2.785895694802732
10867000,1600177702,4794.570953681346,1045118.433328634,25407.010653988164,38322.36160665888,0.004587586249350658,2.786147209423769
10868000,1600190832,5428.8902999343045,1242473.6394272256,29471.480082097267,39139.272754635705,0.00436942090975628,2.786744660801541
10869000,1600204260,5570.2944903583875,1308189.8228413856,30630.542872362843,39365.114174437884,0.004258016988895175,2.7868896144803657
10870000,1600217129,5098.052446035421,1406672.5707704737,30380.02732447348,40221.39204474829,0.0036241926884541978,2.78747190534991
10871000,1600230491,4908.013027248685,1308043.45999356,28739.34984517893,40835.75631164799,0.0037521788666508454,2.7879629703165825
10872000,1600244121,5251.308833835017,1327366.4122125874,29942.999424849488,41349.55661249904,0.003956186314132817,2.7882639915473963
10873000,1600257235,5104.57778276675,1367269.5663621877,29959.02852738368,41761.01358829536,0.003733409934917368,2.788555290679298
10874000,1600271088,5097.7216482851145,1382427.1338166168,30102.498617021534,42038.34745369904,0.00368751561914969,2.7887310909142524
10875000,1600284355,4867.588840364047,1441348.7834922262,30029.191816606333,42853.218788413775,0.003377106843334914,2.789316797823356
10876000,1600297880,4857.702373454055,1388904.6341158648,29445.811935605787,43092.209129181116,0.003497506059187659,2.7895113365124966
10877000,1600310338,4684.0177361796805,1327376.5992118935,28262.836333065865,43638.004210349376,0.0035287782977044603,2.7899126135433443
10878000,1600323285,4648.4224629019045,1338041.6304009904,28262.836333065865,44226.51892894669,0.003474049205411376,2.7904347067431488
10879000,1600336910,4528.743579223466,1373672.8307696965,28262.836333065865,44526.514790553825,0.00329681382479256,2.7907104356638928
10880000,1600349788,4504.580383396028,1381302.0111083174,28262.836333065865,44810.661421985526,0.003261111869215104,2.790973732495795
10881000,1600362916,4265.511368087309,1238853.688004998,26044.71873217624,45247.70315505398,0.003443111490394255,2.7911031650595564
10882000,1600375976,4317.264537886374,1216204.73613352,25958.6431511606,45594.783930031415,0.0035497843493123883,2.7914232223684823
10883000,1600389220,4221.842832384646,1236757.8984958304,25884.600525061825,45832.456791503566,0.0034136372506853078,2.791591775980818
10884000,1600403248,4223.826209401614,1225503.7397408998,25766.54235833464,46617.17256908883,0.003446604096283402,2.7922493390517507
10885000,1600416922,4307.008036192886,1201678.1426352179,25761.274810125185,47024.00995536559,0.0035841610855531078,2.7926375383071482
10886000,1600430004,4456.652128229282,1245049.1354684029,26672.909762532367,47193.49522950285,0.003579498994272732,2.792718858616895
