block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10830000,1599687111,2331.557845088889,178995.47311761786,13550.628749142968,30.776290452880996,0.013025792242001687,1.5075949504969688
10831000,1599700996,2439.609100523338,193964.59272299762,14427.955017840794,173.3540041635429,0.012577600201534535,1.5077056841571006
10832000,1599713998,2495.2486755135355,199991.8980857156,14815.720333514751,281.4421593866806,0.012476748805314523,1.5077882217535716
10833000,1599727959,2517.224882908708,199184.27325205173,14849.759468858576,414.77968745571405,0.012637668837054026,1.5078880921784903
10834000,1599740967,2288.5949928479918,187064.97031093785,13721.198300764818,502.8418327491317,0.012234225301743598,1.5079559857507294
10835000,1599754060,1809.261817639552,152310.25833927398,11007.73475233802,610.6889017688535,0.011878791601872196,1.508055518890472
10836000,1599766711,1586.1174030682223,126321.67547232108,9385.224273830016,745.2481019098738,0.01255617768793578,1.5082104605323596
10837000,1599780441,1441.147330288455,128839.7247248525,9031.484089475343,1168.6264912601966,0.01118558219032321,1.5087593125530765
10838000,1599793183,1909.6348965789941,172760.66394981625,12037.31912962578,1307.4461142373061,0.011053644116195959,1.5089256073778703
10839000,1599806555,1994.2382261651205,182440.91127696648,12640.158800321391,1413.3897738775806,0.010930871876306493,1.5090273276248285
10840000,1599820027,2024.1298365566226,182140.62124845406,12723.142101235077,1527.9799958356662,0.011113006108590959,1.5091354202399752
10841000,1599833013,2032.829289724185,184079.89968345469,12817.588128974949,1600.5654096605338,0.011043189904057176,1.509201843771994
10842000,1599846326,2201.4509920760675,200581.27168755888,13922.68650816734,1712.4492865447305,0.01097535664000187,1.5093037694946243
10843000,1599859185,2136.5116719787293,204808.7733127132,13858.536269062339,1847.471353577249,0.010431739018897334,1.5094180890486653
10844000,1599872294,2103.1839400140093,213193.9813371263,14027.240839053698,2023.5317445126525,0.009865118737513608,1.5095720451215118
10845000,1599885795,2198.692255138101,220775.61284807933,14594.471894779328,2084.1730408150047,0.009958945314540113,1.5096260739615983
10846000,1599898822,2190.838911720566,226178.31017441343,14744.497384053044,2210.0171664532963,0.009686335131035062,1.5097350151204751
10847000,1599911903,2063.5277982101775,225654.84659892163,14291.47049172414,2408.743133720412,0.009144619888789209,1.5099083185230044
10848000,1599925296,2032.2111084005487,218919.8842462077,13967.72160678334,2598.901304879061,0.009282898697840656,1.5100851784040643
10849000,1599938410,2012.3140397858176,219704.4485953661,13922.572938054318,2773.091201158105,0.009159186592038177,1.5102463757082114
10850000,1599952172,1234.072568553636,136084.17153529267,8579.503670576894,2979.3436724896837,0.009068450464377379,1.5104696099027528
10851000,1599965376,1080.7602207165867,113776.47807987596,7339.911395649959,3161.94745257054,0.009498977635411129,1.5107760847594034
10852000,1599978747,1049.7350091947003,110758.6188496182,7136.578980370509,3237.9989547277946,0.009477682369983064,1.5109097716311208
10853000,1599991924,1003.549603792334,101643.81572159793,6683.924557565678,3311.0368540252666,0.00987319884311558,1.5110483559596748
10854000,1600004886,1175.550912400256,117633.62352853935,7780.739079014316,3496.609072088877,0.009993323993076295,1.5113519375779514
10855000,1600018238,1204.6074146357394,111636.18156835977,7669.50429379221,3922.083703369337,0.010790474895436162,1.5120214692288247
10856000,1600031291,1158.4830940513928,114868.16062864286,7628.454858637191,4031.7968885284363,0.010085328151084894,1.5121960628019275
10857000,1600044785,1209.6214395543645,119257.34496716947,7941.909061101645,4108.147627923125,0.010142951278073171,1.5123154751366263
10858000,1600057881,1169.6200495354346,123358.59980802564,7942.049087793568,4179.101035608121,0.009481463403083631,1.5124274490689145
10859000,1600071351,1188.8068941482288,135362.95645789048,8386.057779352886,4336.656956526776,0.008782365022575801,1.5126822914549092
10860000,1600085050,947.21239064934,104637.63651404245,6579.866703579004,4540.516959625036,0.009052310642760202,1.513040490526757
10861000,1600098201,869.0573966050476,91836.632789398,5903.772387639188,4627.767812986802,0.009463079930184188,1.51322183937511
10862000,1600111706,897.9906354389105,93771.03993275328,6062.642616711119,4800.479908203306,0.009576417581407787,1.5135901822375453
10863000,1600125024,997.3010140430375,105233.03955908671,6767.779971250907,4861.411241996651,0.009477071252732071,1.5137109650186882
10864000,1600137926,992.3816162812911,103352.76134030783,6690.094130588632,4907.6787217155625,0.009601887781340386,1.5137988432424372
10865000,1600151476,992.7218719362987,103144.11598174732,6684.3306344546,4925.8367078600795,0.00962460982371475,1.5138334612559108
10866000,1600164814,987.0265747153842,103505.528391878,6675.855947597018,5038.018875063241,0.009535979285844943,1.51404659002327
10867000,1600177702,889.1411139677613,95626.06113657996,6089.5121226719675,5126.624557880951,0.009298104548066935,1.5142269819860412
10868000,1600190832,877.6656035574385,91607.99645035312,5920.107896685548,5304.749573115872,0.00958066585413304,1.514612754106462
10869000,1600204260,1087.7966220047606,109892.67446426048,7217.25631133096,5455.3806048601255,0.009898718247671152,1.5149074293166074
