block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11356000,1606685086,1.0,1.0,0.999999999999999,0.0,1.0,1.000000000000001
11357000,1606698618,80132.6258439123,216.89496181087134,4127.16699881758,112689.62756085054,369.45360636724513,1.0101302499034237
11358000,1606711814,254596.2813475573,857.344946114603,14576.461350798669,498411.9463832558,296.9589807479019,1.0135652645855702
11359000,1606724683,455662.63851453544,1369.1659782411916,24615.967781794247,756359.9226198242,332.8030682590232,1.0146887492528376
11360000,1606737324,1032260.6030066371,1472.3453698812282,38354.508823487704,1625458.3454594603,701.0995002415145,1.0164431613557674
11361000,1606750941,1131895.5882895645,2304.74048757657,50191.81188196892,2461909.130132393,491.11628592933266,1.017609904978973
11362000,1606764305,1045539.0107926874,2834.590425882203,53443.94547878003,3117018.638814971,368.8501171971915,1.0186307129332992
11363000,1606777403,1151469.236491283,2922.7652016117663,56926.66938371378,3441423.913331555,393.9656992824131,1.0190778414974055
11364000,1606790457,1668109.8237256773,3106.449817110489,70567.60052935002,4381347.672486199,536.9827043519714,1.020091527510124
11365000,1606803733,1671290.424582482,3861.9446916740308,78704.81897874073,5087686.831981863,432.75876741208083,1.020769448049236
11366000,1606817526,1647512.6791854226,5018.558436969459,89018.69570843483,5856984.326706666,328.28404807423163,1.0214630206850694
11367000,1606830095,1509990.2037780338,5091.051759307936,85799.23597380787,6327047.10143314,296.5969067231205,1.0218976502485748
11368000,1606843839,1870754.7391070041,6490.356253718352,107763.78805309121,7000006.0215630215,288.2360637808196,1.022515372351701
11369000,1606856562,1377953.7029893773,5982.499437175871,88757.0252067866,7487986.255790288,230.33077018388505,1.0229535372020315
11370000,1606870199,994571.4375569338,7754.328480978946,85775.02989277137,8092097.601665331,128.2601633392985,1.0238332048828032
11371000,1606884820,995044.5862962139,7261.085962411961,82963.5130805266,8510328.134408923,137.03798459998995,1.0245541713321011
11372000,1606898337,1189341.0861499694,5253.070125902844,77085.8918867758,9090309.159280166,226.40875862009503,1.0253801566676846
11373000,1606911253,1188406.4205037877,5109.525827393926,75967.55360752998,9386621.952940265,232.5864396520578,1.025757386736509
11374000,1606924287,1227088.4902894162,5446.246811408669,79677.46833331199,9584850.539050724,225.30901238609675,1.0260087729171428
11375000,1606937227,1193386.9619483687,6325.889594753023,84666.73339026229,9739697.986823795,188.65124723931592,1.0262156753826432
11376000,1606950457,1176997.7297054122,6654.588883401493,86231.36385518523,9818698.133290729,176.8700892464133,1.0263208991382862
11377000,1606963758,1189120.062891563,6737.269472104913,87198.38085573405,9929435.938125754,176.4988127334097,1.0264703086802074
11378000,1606976748,1613136.8788893942,6783.823243112771,101877.03413100052,10242630.051017415,237.79170256641345,1.026825342206961
11379000,1606989763,1671126.2458545358,6757.734713595731,103460.12033871608,10574911.312995132,247.29089209323888,1.0271460969561357
11380000,1607003331,1791301.0238523872,6856.676962112581,107849.26160925244,11049641.813640283,261.24914936935824,1.0275996686501747
11381000,1607016492,1945892.0923265156,7495.206465103295,117480.67885768553,11518132.005497916,259.61821083733133,1.0279801519426603
11382000,1607029590,2749024.3150301916,9439.107567493262,156640.59263094273,12118523.699910937,291.23773570473776,1.0283724672003174
11383000,1607043153,3614580.3011142183,8539.106505930084,170734.9482706827,13394777.262238596,423.29724996450517,1.0289937256084003
11384000,1607056389,2864737.238646512,7413.001843982682,141551.40508278494,14366637.170800874,386.4476630303133,1.0294974284701428
11385000,1607069818,2521903.1114824372,8620.126707781983,143171.15379298117,14946879.078662802,292.5598656462604,1.029829904052636
11386000,1607083106,2577453.77709636,8580.114403090709,144347.18128597792,15604329.279953532,300.3985327011392,1.0302287714933227
11387000,1607096195,1906766.7325010046,8607.723284366413,124077.86442675769,18278910.27741471,221.5181261651529,1.0325203540561672
11388000,1607109266,1831649.6708476248,11284.19110622266,139098.01643651442,19558039.838106852,162.31997966053254,1.0335595056331988
11389000,1607123047,2046542.1206453503,12389.522933582783,153997.83319404125,20133604.34623054,165.1832868477959,1.0340059205984762
11390000,1607136369,2329833.7729568235,13192.652739924144,169383.39851074366,21651626.041586507,176.60085646809952,1.035041328944878
11391000,1607149486,2593272.878922265,12660.8000369518,175027.79297727856,21988547.887366705,204.82693600353386,1.0352557881064175
11392000,1607162844,2740530.6229058113,12473.417207052518,178523.03332985417,22663467.168588575,219.70968960745617,1.0356566462387888
11393000,1607176193,2847549.4999161884,14795.462029610055,198054.57884811473,23934748.355564047,192.46100555815067,1.0363704457212777
11394000,1607189565,3165328.5106411004,16453.362224030283,220026.7896908644,25491794.105462525,192.3818650280555,1.0371967851940822
11395000,1607202512,3539265.3429891737,16846.615884913088,235386.980925004,25847567.431888483,210.087614460228,1.0373622980402255
11396000,1607216142,3649586.4489714485,16540.452363827735,236750.23040395314,26825996.45860339,220.6461086247386,1.0377795508661063
11397000,1607229117,3748172.808185744,15734.194994418991,233941.15401975726,27503864.084014416,238.2182761504636,1.0380671287130263
11398000,1607242529,3958450.530352113,12541.147778978644,214390.20127060125,30615051.3333374,315.6370214365253,1.0392650481147356
11399000,1607255502,4281314.216921459,11978.541593955002,217726.7994469528,32841765.134507854,357.4153149897675,1.0401084761390265
11400000,1607268400,4137765.9882728173,12644.821869817895,219793.6857616584,34418115.55748701,327.2300733748815,1.040696535407815
11401000,1607282445,4982437.257120972,12281.967273046383,237586.6526969318,35962255.28947128,405.67094394195857,1.0411968563991578
11402000,1607295461,4554080.931008704,12775.953062845785,231620.9621944279,36592776.41540905,356.45723717102516,1.041403815463891
11403000,1607309267,5225176.4520681,15860.03531072183,276062.1242408401,40203456.48483871,329.45553712202224,1.0427872919998349
