block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11714000,1611433732,533358.6212934661,249.5028789559877,11049.219536973718,20408409.992806666,2137.685238443883,1.0440368741164026
11715000,1611446663,456261.5666129408,265.44218663587776,10225.319382522484,29760862.05006847,1718.8735987879004,1.0762546353915126
11716000,1611459890,652326.1503697073,350.0758484383158,13897.617285379943,33296918.29155882,1863.3851871807958,1.0873594209569457
11717000,1611473553,994683.6792477124,387.3294109107239,17954.729644042913,36343199.23963731,2568.056158991187,1.0932106745211865
11718000,1611487072,837778.0744352852,431.1178829134031,17308.90410226022,38990997.81605489,1943.2691327340895,1.0979762402933175
11719000,1611499869,771527.5947596999,474.7089127730702,17362.31051715174,41057020.68296973,1625.2646074259,1.1022545638484622
11720000,1611513320,828488.5496798998,408.4714988702408,16618.17692345734,43325321.964465,2028.2652571142687,1.1069825029453049
11721000,1611526788,886910.5867448505,399.93559724239776,16968.472587172328,44835618.55904912,2217.6335211474093,1.1099213335550049
11722000,1611539951,793591.7150925848,425.77253528516434,16505.82547153103,46712927.53726201,1863.8865810380914,1.1136536267373112
11723000,1611553245,725438.9369160566,410.4931515759675,15455.26588403766,48007000.63130427,1767.2376119575868,1.1165467407661305
11724000,1611566567,778542.7849382733,447.4015317013497,16689.608633818465,48772829.16653546,1740.1433159553146,1.1182626577625563
11725000,1611579635,923750.3901861759,571.6757679182421,20519.618218210988,49636330.81026161,1615.8641699122809,1.1199095114991755
11726000,1611592721,1012209.4003687942,650.2051221152287,22873.33485727246,50609524.99930059,1556.7539626201394,1.1215816322917642
11727000,1611605798,1040060.1757083624,652.4772648256247,23207.867707632373,51154916.73339957,1594.017495745725,1.1224750212052113
11728000,1611619442,1115343.1328348543,644.4229278634484,23866.17209896428,51709934.55339322,1730.762647649298,1.1233290048719182
11729000,1611632863,1035336.0444008032,725.6547449716933,24385.684551739345,52138631.00904598,1426.7612133387072,1.1240114494756406
11730000,1611646440,949024.3746748054,687.7407086365142,22714.823835125244,52534426.46319521,1379.9159519818177,1.1247129000843334
11731000,1611660265,986350.4718656249,660.5727098361742,22676.79488508208,53050227.84690423,1493.1747212358277,1.1256264002146306
11732000,1611673324,1002405.1204710569,646.5013011516767,22604.07980521416,53399992.61421093,1550.5075066134793,1.1262103336412306
11733000,1611685824,1018419.9253298494,637.6636108795436,22621.839448584484,53572648.28428084,1597.111561572598,1.1265003865830556
11734000,1611698848,1053567.018025331,688.1354381074489,23895.837411233457,53754434.50178988,1531.0460117021646,1.1267972818039311
11735000,1611712634,1072882.8043401765,696.9242042580918,24253.63043992793,54155628.14188512,1539.4540723152386,1.12743668112522
11736000,1611726163,1142961.065322301,785.2568277974211,26567.266161918837,54296822.2812731,1455.5251541437854,1.1276510072607906
11737000,1611739725,1132301.728895597,819.3956811162752,27004.2148328144,54509975.85980966,1381.8741726256653,1.1279669274704298
11738000,1611752604,1101242.7119375772,748.9047964609165,25450.874623207936,54777783.58104613,1470.470902498818,1.1283715254070104
11739000,1611765926,1145400.5545508424,751.673432232945,25999.92523189612,54895907.13831615,1523.8007696351306,1.128551014950854
11740000,1611779234,1200172.671766681,732.7144177083007,26263.87497462504,55280513.59021828,1637.9815147086115,1.1290948670889926
11741000,1611792515,1129794.137525458,687.6719180720517,24677.604381715988,55572352.34955587,1642.9260928568006,1.1295027840833471
11742000,1611805686,1147330.9258764628,660.9674832522527,24374.42526614717,55770358.05713935,1735.835657498742,1.1297959490017453
11743000,1611819461,1252674.52553583,622.2825419552947,24701.927217323144,56108835.15112832,2013.031767852204,1.1302697216671502
11744000,1611832892,1235096.738959382,584.6413898658599,23763.35874838374,56499753.94343121,2112.5715017247794,1.1308042761463983
11745000,1611846506,1238575.7912604134,583.6805214055858,23766.899336850238,56864538.76408107,2122.0098081699675,1.1312963006503507
11746000,1611859497,1237301.070281776,532.4505490069471,22675.288168066934,57336386.46710614,2323.785885073118,1.1319428977883297
11747000,1611872171,1208283.6294360787,537.3338404013998,22501.577839321133,57655185.93310504,2248.6646821526533,1.1323835962897075
11748000,1611885719,1202579.5228173786,555.2743530309227,22814.89996146076,57837130.90788594,2165.7393615483766,1.1326406411635972
11749000,1611899290,1242856.7074964677,546.7479554052255,23006.909500015165,58128117.64374314,2273.180347927076,1.1330415334334971
11750000,1611912659,1267590.2235753296,576.8424634708306,23861.270304621656,58279048.53851774,2197.4634390615183,1.1332467739477692
11751000,1611925938,1270176.968293714,580.4413151726475,23956.34922602908,58409011.97231226,2188.295242070957,1.1334193952449316
11752000,1611939501,1242635.0003420592,608.2733228293063,24252.530516742998,58550599.62879238,2042.8891975109161,1.13361116900364
11753000,1611952682,1258854.6323646302,623.9810799761729,24713.441010600352,58885030.75711125,2017.4564145642048,1.134071098457478
11754000,1611965886,1381590.1262647563,712.8476332975049,27659.176716627142,59300674.79203415,1938.1282362877027,1.1346155135853353
11755000,1611978951,1386781.3893510064,718.252792787026,27813.36896435,59386970.48014296,1930.7706190321906,1.1347209338371151
11756000,1611992322,1183722.9850593694,603.1064741072446,23543.02169850768,59526804.45143896,1962.7097964942084,1.1349058448625278
11757000,1612006184,1177062.1458439229,633.2151532226163,24047.636700378727,59783001.36277686,1858.8660423767678,1.1352798874081524
11758000,1612019067,1209063.9632902043,665.3065274687606,24977.775780628817,59925874.08656768,1817.3036237750966,1.135485958276346
11759000,1612032780,1217218.2414828516,711.7967565548983,25913.66310874413,60208207.19886328,1710.0643270337414,1.1358825298239852
11760000,1612046708,1250535.458879775,723.6723326042226,26479.449200798208,60353823.25499454,1728.040996647711,1.136082951593007
11761000,1612059688,1262041.6051227394,720.7858686089716,26544.18978951632,60470968.34157471,1750.9244563275427,1.1362410988116405
11762000,1612072869,1283010.6854107168,709.1606783731554,26544.18978951632,60564998.11411243,1809.1960320670873,1.1363653589866505
11763000,1612085911,1633225.4891073578,903.7280667025052,33795.93988296233,60911996.6158433,1807.2089927079728,1.1367826347303631
11764000,1612098676,1753836.4129148254,901.6930772315648,34977.06489299428,61076314.49449077,1945.0481069451762,1.136947853870797
11765000,1612112314,1828196.3687841776,833.5644036156372,34328.21496982229,61324118.51049049,2193.227494905328,1.137181484666106
11766000,1612125243,1782347.292293993,810.9511510896563,33427.574866082075,61486091.25375181,2197.8479097034315,1.1373356240605876
11767000,1612138408,1799129.4339203918,821.0059790160429,33788.88796861684,61601269.25901375,2191.371902159114,1.1374451557383258
