block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10925000,1600946499,201773.69823832,18.121876637451905,1888.3293198968358,1456285.1570478878,11134.26066599089,1.0126424415586528
10926000,1600959417,2790435.8167652525,189.9119221434676,21915.92115729776,38474119.49256985,14693.315644803159,1.050394415569473
10927000,1600972784,7082751.563723481,423.7800974963041,51111.473084141486,96609688.16099589,16713.27088168705,1.0718965785140573
10928000,1600986137,9474693.74908048,652.529091963945,72565.4889932973,152256727.9028781,14519.956069029942,1.0835586009825535
10929000,1600999396,8404830.092014976,863.9856709989183,78039.70215331326,197765823.65667343,9727.973940004722,1.0919484494048326
10930000,1601012640,10053615.73094301,926.1624167153025,87709.84893316077,245365128.2268705,10855.132479461688,1.1001612764794533
10931000,1601025790,10420800.701910084,979.9964563550689,91370.97482214586,282581529.04090714,10633.508554376298,1.105998503499481
10932000,1601039334,21555630.54201948,1140.3978608556877,141340.58371313027,312023626.4685206,18901.85108366075,1.109281275169553
10933000,1601053079,22929913.707073256,1222.3751357940646,150197.75915264187,378269928.79735535,18758.49159200854,1.1146538246101925
10934000,1601066252,24259974.200903725,1340.426926975183,161267.03889691774,429505348.34058535,18098.692075403884,1.1182042211753105
10935000,1601079968,24738739.5874045,1432.7987057311032,168018.9305475031,464650538.2790653,17266.02591728421,1.1205291493259208
10936000,1601092950,27537584.5642689,1400.488401249223,175095.00178020686,480946777.6746121,19662.84371916655,1.121576577493888
10937000,1601106712,27706963.64207964,1465.9691770481595,179514.7109836571,499320277.06352884,18900.099726427885,1.1226822148060178
10938000,1601120014,28921163.02333661,1601.5576469742969,191503.4688189663,518243213.5696874,18058.146753552835,1.1238349122367994
10939000,1601133795,30313368.673867986,1556.2276920351412,193065.21172391454,538447640.5879952,19478.749047464884,1.12499254526978
10940000,1601147251,32065025.98302393,1495.1008937472766,194343.3888107933,568953005.1419069,21446.73052977522,1.1266299112778482
10941000,1601160965,33589597.24218517,1346.5008480928234,188398.74721762992,612501755.1421756,24945.841875823044,1.1288278179639342
10942000,1601174414,37114912.86924485,1181.9960936947066,185274.8126435268,646493840.7640718,31400.19926227534,1.1304877496491357
10943000,1601187908,30175185.41162273,1460.2447353253156,185347.09928318785,687900009.5351558,20664.471291451202,1.1325359706311922
10944000,1601201413,32725811.17338775,1367.7908842444094,186650.8217115717,705991036.0676372,23926.03397957724,1.133509479327643
10945000,1601214896,32003100.0476458,1445.3128289303388,189611.31914426823,720284806.9455278,22142.680399046178,1.134260200845969
10946000,1601228611,32946756.42905565,1451.7687705708456,192628.02199151512,741210683.1184014,22694.217630883988,1.1353652364156577
10947000,1601241586,32379559.18452109,1531.0171453982748,195996.33340870086,753395634.7925353,21149.050669904787,1.1359979462520493
10948000,1601255204,32241895.20746384,1571.9213336421192,197988.46347860046,773515173.0703171,20511.137877847763,1.1370663304068556
10949000,1601269183,33000100.57803097,1529.0522350246977,197413.75674436093,788947093.2105527,21582.06228808001,1.1378666783464455
