block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11758000,1612019067,453913.17694801727,564.2070185970765,15494.942701867963,11972502.738742115,804.5152966666217,1.0327986527622621
11759000,1612032780,452658.7730249881,643.0194371869236,16315.063186663952,15793828.864949886,703.9581493916827,1.0457039808605888
11760000,1612046708,390877.3271291855,769.9776058020731,16415.505793430246,18928607.450100046,507.64765648218423,1.0568297209623816
11761000,1612059688,429507.4269291044,782.6764448049707,17201.570006422702,21307370.81520358,548.7675396135502,1.065880172457799
11762000,1612072869,450096.2927565865,750.2734915396205,17165.559144488132,22521403.092254594,599.909630064303,1.0705441055163811
11763000,1612085911,460303.91901111713,756.4994078978126,17364.996121348307,23709963.27879193,608.4656699074309,1.0746126331184875
11764000,1612098676,465901.0303914911,761.6352875577103,17501.049555993402,24200433.44123836,611.7114556042535,1.0763568264888854
11765000,1612112314,467472.5584069997,794.6060862064949,17862.04464328167,24985298.08480151,588.3072965609242,1.0790034519869467
11766000,1612125243,507174.99290241365,796.0235447520881,18593.76365754397,25488050.993810397,637.1356679661619,1.0806238942528028
11767000,1612138408,533353.016070945,751.8926423064268,18500.74486477064,26072235.91595388,709.3473004801422,1.0824206803587737
11768000,1612150933,508327.1534704557,780.3480427390167,18370.033537002226,26636210.40004376,651.4108136751781,1.084191200448178
11769000,1612164715,510378.4485423761,776.7938126900038,18352.29835220982,26872315.5859012,657.0320723525814,1.0849471457460658
11770000,1612178425,494617.5521439993,803.1375500517029,18347.02750946156,27306386.18507237,615.8565890888277,1.0863356089606298
11771000,1612191587,457801.4601042087,873.3450165086994,18373.784127152907,27879279.770799946,524.1931326686039,1.0882605858867858
11772000,1612204902,469927.0479373657,930.5388786680568,19168.92265125242,28636588.00256973,505.00528103672997,1.0908995884784536
11773000,1612218140,460082.6566637029,967.7950644098073,19310.27283390423,29173399.31471576,475.3926462151118,1.0927510254343729
11774000,1612231539,481777.6235598901,933.4170281065202,19379.26749158801,29612774.98961959,516.1440267885389,1.0942682914906132
11775000,1612244439,482641.58269508346,935.1845120408113,19403.284850211683,29813728.65758352,516.0923608987454,1.0949285037239902
11776000,1612257671,457344.50176086463,931.845811373795,18833.78298289061,30153706.57023615,490.7941809456803,1.096115194453537
11777000,1612271456,445194.0648301589,959.1529323840564,18833.78298289061,30452288.39025606,464.1533688726687,1.097188003695776
11778000,1612284853,437539.54677336797,978.5255168964568,18821.40730955833,31031595.09774075,447.1416832962021,1.0993668586035623
11779000,1612298450,395966.1051334784,1081.5398270562864,18766.37065486164,31870503.84241504,366.11329072477264,1.1027319921419292
11780000,1612311576,403504.0363231268,1074.7789857719038,18829.36885401676,32650168.19611525,375.429778275141,1.1059812438106071
11781000,1612324900,380431.6045060089,1140.8929412969826,18813.135336943014,32979011.26616279,333.4507478620466,1.1073873581822822
11782000,1612338090,388775.8627411579,1118.862085344723,18818.059374829667,33193956.419992004,347.47433828841866,1.108314693745232
11783000,1612351590,364306.19217859226,1197.5131043474064,18829.336905146698,33406828.81425481,304.21896082475325,1.1092728605678606
11784000,1612364550,372201.48917907936,1149.3225129483785,18616.277332233807,33795795.86879533,323.844251709874,1.1110079585027919
11785000,1612378161,393815.3036472681,1034.2207803447402,18129.51244564019,34316093.871692576,380.7845588985328,1.1131835998867552
11786000,1612391605,411899.5920049018,963.6897231594827,17863.493240956708,34841238.37071924,427.4193053076024,1.1153159286706678
11787000,1612404799,375553.793089933955975572,1070.637439252245118416,17967.722053355806720749,35003476.454852412654805097,350.7758829657857,1.1160001903760712
