block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10588000,1596473308,62414.584744640255,146.60581194746726,2932.5366234813296,612183.9711433032,425.7306304268824,1.031514154815476
10589000,1596486738,115929.28233458848,273.52914913197475,5385.8597412117715,1528306.7742885775,423.82789074759233,1.0455464737125382
10590000,1596499718,140032.70929105947,352.6320963208032,6701.433058435021,1765776.3844517346,397.1071004372391,1.0485954802919168
10591000,1596513067,144208.2873297577,350.6073292980484,6772.958247868611,1881677.774277197,411.30996211196543,1.0498498884544454
10592000,1596527156,140228.799309692,340.7740945544664,6575.5024863865965,2015245.9108988184,411.5007612096495,1.051291002910619
10593000,1596540683,171882.33248357518,404.7877783292037,7924.61401271275,2130332.4334571967,424.62332532131836,1.0525705070378817
10594000,1596553335,173807.99059790553,411.747145180456,8019.233466943969,2393561.652830881,422.12312248511375,1.0549146176451891
10595000,1596566768,196210.39363553625,474.71399236347986,9138.880074899991,2525266.224144756,413.3233837466108,1.0560489343263992
10596000,1596580519,193283.5667186517,492.17369937401565,9225.227321615179,2675402.122254295,392.71413113802004,1.057254616554275
10597000,1596593866,167671.2097184133,417.27555154062594,7900.569449398947,2844868.02349372,401.8237088162804,1.0587229409860708
10598000,1596606713,169580.4665481403,413.1019006885337,7900.569449398947,2916176.126301465,410.5051714007942,1.0593954769572915
10599000,1596620344,168506.34705747332,391.11547676847323,7658.094452871229,2990137.3886878933,430.8352828421137,1.0600831080595523
10600000,1596634124,122618.6048087107,270.3609648636145,5426.699397594,3062515.9743908937,453.53664450253217,1.060997629791293
10601000,1596647571,124087.9298160335,283.84016174661537,5589.736820008676,3118644.655211626,437.17537734074097,1.0617208151089967
10602000,1596660522,125688.67613990359,273.57455133513446,5518.587200535307,3186631.1640279368,459.431169772558,1.0625711360263057
10603000,1596674074,134731.77068614107,296.89957712745195,5950.36959614159,3213520.499613936,453.7957648498232,1.0629084417367929
10604000,1596687773,131489.94551314812,299.2058857035641,5898.298653267177,3255208.1854260988,439.46309814045827,1.0634194029673385
10605000,1596701291,129850.97810117244,303.53575826213364,5902.1915808690255,3277239.672612856,427.7946652632376,1.0636879534793044
10606000,1596713820,132554.73824538093,297.40992496721896,5899.920365007669,3321049.633004312,445.6970905056088,1.064214586450592
10607000,1596726847,103422.28594075238,236.48553121696568,4643.750939503013,3375814.8510772283,437.33028996969284,1.0649775056071704
10608000,1596740019,127897.20630359965,296.2806065530895,5775.778018342095,3440598.260721888,431.6759297597907,1.0657900171822323
