block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10093000,1589845567,176759.66533629,799.726441,1.18891954524e-07,10728.22246361,221.0251609478672,100002267194.59216
10094000,1589859512,951773.10110771,3716.4018869999995,5.94663121931e-07,79706.01108815,256.10069364053953,100013135441.7478
10095000,1589872818,956284.34207562,3700.474032,5.94663121931e-07,221081.35573928,258.4221193841957,100034820301.60602
10096000,1589886189,968011.43712315,3656.724519,5.94663121931e-07,317836.98831571,264.72090858730337,100049600687.30533
10097000,1589900110,961139.42652752,3682.948389,5.94663121931e-07,326199.30232295,260.9701046580482,100050671142.47153
10098000,1589913105,1053420.7314411,3362.9174789999997,5.94663121931e-07,597589.07646809,313.2460840978905,100089386963.30836
10099000,1589926249,1059128.24025373,3443.191867,6.03306050665e-07,644350.57985798,307.60070340678755,100096111157.8039
10100000,1589939554,996324.14661213,3769.617766,6.12184843501e-07,722741.75470338,264.3037592825612,100107453163.28566
10101000,1589953248,952103.68311971,3945.23164,6.12184843501e-07,766962.2181958,241.33023609222343,100114228094.56856
10102000,1589967012,928827.12005675,4045.183457,6.12184843501e-07,850449.31822148,229.613101588621,100127640437.34337
10103000,1589980117,936120.85081939,4013.823223,6.12184843501e-07,862723.58745884,233.2242350523144,100129605916.00148
10104000,1589993993,955159.71684693,3934.738347,6.12184843501e-07,935844.1794761999,242.7505040011572,100141329956.44276
10105000,1590006861,971477.06757336,3869.611458,6.12184843501e-07,1018391.23932343,251.0528713586831,100153788901.83748
10106000,1590020319,980079.78519748,3935.736675,6.200950024260002e-07,1045592.72582812,249.02067036725208,100157967188.96196
10107000,1590034230,965701.11514946,3994.51439,6.200950024260002e-07,1059971.39587614,241.75682470115225,100160187817.07104
10108000,1590047677,965701.11514946,3994.51439,6.200950024260002e-07,1059971.39587614,241.75682470115225,100160187817.07104
10109000,1590060808,1015173.38387481,4089.830376,6.43306682725e-07,1074349.77637449,248.2189456638752,100162394099.029
10110000,1590074422,1022370.68309299,4061.124501,6.43306682725e-07,1081547.07559267,251.7457130017177,100163451809.3262
10111000,1590087453,77306.44303498,307.0814680000001,4.8643560794e-08,1081547.07559267,251.74571275326846,100163453762.18347
10112000,1590100941,77306.44303498,307.0814680000001,4.8643560794e-08,1081547.07559267,251.74571275326846,100163453762.18347
10113000,1590113970,80817.60403498,293.778614,4.8643560794e-08,1085058.23659267,275.09696139753726,100170009673.5979
10114000,1590127844,97610.85285628,326.319135,5.633857459299999e-08,1089066.80089049,299.126966171567,100176180600.759
10115000,1590141059,93599.51056223,340.346094,5.633857459299999e-08,1093078.14318454,275.01273618915104,100182374138.10056
10116000,1590155285,93599.51056223,340.346094,5.633857459299999e-08,1093078.14318454,275.01273618915104,100182374138.10056
10117000,1590168889,93539.51056223,340.565063,5.633857459299999e-08,1093138.14318454,274.6597367864184,100182470821.79477
10118000,1590181994,41843.87343645,155.138774,2.5431880495e-08,1093982.02577352,269.7189900214758,100183832922.4203
