block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10839000,1599806555,1708.978261799059720652,195.525309609750762538,573.944401395176782422,2696.433365424617158282,8.740445240618781,1.0071634029313403
10840000,1599820027,8976.706281048453579689,990.795834500564402258,2950.499968834575308477,15659.498864575003980125,9.060096912471769,1.0107761346178945
10841000,1599833013,17738.183104016402031264,1259.200828247132420392,4664.776752972219344568,35402.849369701015579756,14.086857875330974,1.013144061210653
10842000,1599846326,21343.725381880972314829,1139.756093588684597048,4862.081519817570748233,52286.582872307934394802,18.726572730729792,1.014422416217155
10843000,1599859185,26737.330921567396803697,1760.052118133917157729,6756.807393487122189683,66263.034651165534295551,15.191215445321848,1.0152669537564223
10844000,1599872294,36168.230256119194464705,1245.505555906062552746,6604.180709713800770415,86992.458206249746234605,29.03899551841666,1.0162896803990897
10845000,1599885795,30601.157939827930677317,753.810959858046509765,4723.424742840914500131,99528.831536881061432948,40.595268004050475,1.0168178315986696
10846000,1599898822,47301.7327335499067864,716.899071950135904152,5720.140061638052818809,131339.588291515233404309,65.98102101719556,1.0180306911135706
10847000,1599911903,56844.657707432896269649,927.378076584298625173,7126.905592302998725297,156171.093573346560460573,61.29609826102647,1.0187608202301288
10848000,1599925296,68143.91840856985002389,1512.732508458305235074,9955.768063848934436887,197815.85770696155148997,45.04690553521483,1.0198113728938836
10849000,1599938410,73516.046419823051992731,1392.739709819684965162,9918.279879994936589518,216150.40169913149139905,52.78520164355837,1.0202102711096115
10850000,1599952172,81465.974925387612927548,1379.654641055891860691,10389.574983929260153185,226353.371917644329579012,59.048092545130864,1.0204119615292584
10851000,1599965376,91191.901233035439422297,1373.79720836220297699,10966.724770066711146918,238016.769668105871269271,66.37944863911284,1.0206163132830572
10852000,1599978747,94451.268703330281596405,1590.929444520244492221,12006.563432327595283693,258854.600198805590613202,59.36860935515132,1.020964492209742
10853000,1599991924,94088.721390986787805406,2561.985146967427217931,15191.89071489308053607,320960.740944131023531622,36.72492851972925,1.021986736771996
10854000,1600004886,96184.266678860346449551,5170.580554461414085671,21773.185966124976302286,455851.896678599243430086,18.60221800352151,1.0242351864723442
