block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10959000,1601404709,1074810.4348831472,878.3798408667226,28597.18439120344,42931987.56963194,1223.6283039266946,1.07444413959688
10960000,1601417945,1047101.1510544384,1047.9127729688184,30617.35302011689,47647596.02697674,999.2254871442392,1.0819052888363454
10961000,1601431059,1180293.35149175,1031.0638493824977,32158.864226897284,49573043.74449396,1144.733521787836,1.0847684821790309
10962000,1601444981,1192313.992891883,1142.7195787831877,33939.82331490624,51576527.13310634,1043.4003363813067,1.0875658885507178
10963000,1601459154,1005749.4641272505,1462.864737183021,35021.115430456266,56637981.01264326,687.5204785262523,1.0952594681433792
10964000,1601472033,1114185.0171405848,1859.191756221267,41073.76621766279,64622989.44885976,599.2846157004917,1.1080930287833224
10965000,1601485853,1198978.4589436995,1973.3904436243367,43619.43980106893,69531298.72881435,607.5728514939245,1.1151469912512333
10966000,1601498960,1100969.1856448434,2280.1125483254627,44783.28327512401,72084424.03605373,482.8573863397251,1.1187931372286375
10967000,1601512161,1123487.7539384528,2218.3802683358067,44436.423730742434,75210899.09150843,506.4450716473761,1.1234741104966262
10968000,1601525869,1023056.686007592,2606.8231608601563,45766.27312928925,78346737.17409527,392.4534281297472,1.1283922283448826
10969000,1601539726,1172653.0525532805,2370.721681760569,46590.67450729263,80495951.27747728,494.6396962474452,1.1316862965780965
10970000,1601553015,1266637.8260402395,2257.5243963751623,47099.60877002578,83092947.91941871,561.0738152261129,1.1353379453789758
10971000,1601566869,1384387.813822667,2260.303899858997,49112.69576214568,85900995.68076117,612.4786202019245,1.1389863729495926
10972000,1601579306,1445338.1123444638,2214.8788565730206,49529.99065700477,88744877.45661423,652.5585397391746,1.1423297043081702
10973000,1601592730,1422651.8022606997,2361.0523280589027,50624.30049631258,90799157.72024524,602.5498822511518,1.1448354792367412
10974000,1601606489,1479764.097895045,2321.133431456561,51124.144655632575,92045704.5405152,637.5178944221493,1.146357935087325
10975000,1601619829,1676229.6650312257,2100.5564110554988,51632.16198681052,94802744.10047586,797.9931680049217,1.1492476520216224
10976000,1601633404,1585140.957899965,2255.686734391354,51859.18292143662,98127329.37948105,702.7309837541247,1.1530487431253205
10977000,1601646720,1526381.2876870884,2366.299304716017,52031.986080250565,99935390.90211888,645.0499666906134,1.1550371458148123
10978000,1601660827,1469627.6431254188,2573.0631738464845,53135.111005590334,101896748.47214992,571.1587877294382,1.1573035585028446
10979000,1601674061,1377919.5601013666,2819.4009654925103,53767.50181310586,103511194.49807931,488.7277747883808,1.159232360662187
10980000,1601687922,1455827.9469931724,2708.6720427054943,53983.628136281935,106753255.7867126,537.469255797779,1.16324493277645
