block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10928000,1600986137,12103736.688493213776274807,487.7405819660471554,74271.203128578126559644,94967708.604152368527012632,24815.931124090443,1.0345076832861375
10929000,1600999396,11672847.192908867229527717,504.999012759646830106,74002.327070751846364926,118940056.525293482275450123,23114.59408429484,1.037500436172142
10930000,1601012640,13423823.292349060541679035,438.754057743976012775,73882.252937201857209799,128998399.900079656177924565,30595.325685129497,1.0387440666925958
10931000,1601025790,13980161.430841112250082341,422.688955745550773356,73882.252937201857209799,144715447.126231568790219513,33074.34755701744,1.0404624546670849
10932000,1601039334,17104328.914320013294502716,509.739901413932828863,89389.845281546585610257,180415224.848765424657005026,33555.012795497234,1.0445738498978894
10933000,1601053079,16318928.465735224164538685,526.557543916957621823,88618.39973396963926426,196232035.337616649805931103,30991.728547542854,1.0460316750156273
10934000,1601066252,16895905.956176328863530682,508.831953063743211842,88618.39973396963926426,199031018.78941834839667958,33205.2770162013,1.046294702367604
10935000,1601079968,17047984.700071917276359818,504.314041902623365611,88560.744020429868524994,206850217.070095456621823386,33804.30304053216,1.0469978679105802
10936000,1601092950,17376495.304323620891826241,495.115432121720020916,88560.744020429868524994,210803827.923509095871076593,35095.84669954653,1.0473529701409585
10937000,1601106712,18074849.379616748625409514,476.220202251477193572,88560.744020429868524994,213751077.165494121843073128,37954.81437822744,1.047610866445699
10938000,1601120014,18229119.128349817926474223,471.833832699137847936,88506.639085674407603226,216556265.316135077936168838,38634.61639465246,1.0478558238947273
10939000,1601133795,18069621.507125020466852467,476.311522818151828447,88521.954872366062015278,218407373.865067084265809689,37936.56176994003,1.0480188058613806
10940000,1601147251,18002155.518782454282615555,478.515688424260030797,88521.954872366062015278,223839585.673588859962885195,37620.82613856004,1.0484780647068803
10941000,1601160965,19363581.69581953772489869,443.8286411054019564,88371.803968310502110408,230628171.255133408770179869,43628.508623491485,1.0490272938021805
10942000,1601174414,20392799.984758510368576006,421.506010119084605788,88371.803968310502110408,231845189.716581670104505611,48380.80476953841,1.0491234513604006
10943000,1601187908,20237399.852312955253164156,425.045514545890043625,88371.803968310502110408,236723531.216721934747239639,47612.31246948737,1.0494973698477328
10944000,1601201413,19892643.918606178067271536,432.829828772249758606,88371.803968310502110408,243108181.122265199146875687,45959.50324180052,1.0500044152968013
10945000,1601214896,19686574.266373160174797645,437.525063378064222381,88371.791744555904910933,245604993.916008818021967416,44995.306358854345,1.0502021003532942
10946000,1601228611,19065234.112192712757183575,451.910061602003475757,88371.791744555904910933,247446126.841149779079503172,42188.11602602342,1.0503484920446307
10947000,1601241586,19326991.986548586912238593,445.775153095453308308,88357.229128925327528558,249386195.780853818304102083,43355.920248902075,1.050504638114207
10948000,1601255204,19080935.901309746194624174,451.566934336662092947,88357.229128925327528558,249998877.798995694763002094,42254.944838552125,1.050555050777653
10949000,1601269183,20007512.532971974792213056,430.727342493727817182,88357.229128925327528558,251125454.430657923360590976,46450.528116318324,1.0506442344168307
