block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10751000,1598641655,501510.5071963607,2768.08672144247,36713.63375152546,973226.8704605964,181.1758653771584,1.0148514885119269
10752000,1598655514,1153985.834255952,6526.413268192036,85182.83390991924,2915190.83852542,176.817769092277,1.0187917980701815
10753000,1598668615,1910164.6200795725,10944.47590297692,141694.89744433016,4491026.234507847,174.53230625323997,1.0204193181600238
10754000,1598681878,2896341.8012131574,18789.971501975306,228320.79331982558,6344762.887675414,154.14295870053223,1.0217449551346045
10755000,1598695493,3680088.4254958346,12779.379678052816,211998.62693207047,8883020.866270108,287.9708184753274,1.0229418947640143
10756000,1598708748,4415306.3090913035,11289.898432267051,218098.86084970488,10854971.423446426,391.0846794221067,1.0236984345244549
10757000,1598721969,4599693.421683687,10520.14334451929,214652.4951392216,14212805.105753725,437.22725737192565,1.024800504748547
10758000,1598734918,5033251.209209014,12281.570875358362,242420.7724722177,16703318.437763147,409.8214520186247,1.025608075854409
10759000,1598748200,5377040.963662366,16031.610069910424,286081.92517489835,19017397.969035648,335.40242933892733,1.0262893529376271
10760000,1598760959,5442583.503005188,18044.107068018275,305199.0030590261,20855585.312664084,301.62664644413064,1.0268030204386251
10761000,1598774646,4901982.193011861,28194.839871690918,361757.2679918924,23826371.365560565,173.86096942986026,1.0276693776133892
10762000,1598788296,6323605.623236988,35119.94543648605,457952.86572928354,29018811.55643937,180.05738746585305,1.0290548496170109
10763000,1598801522,6629574.839907994,40086.417904586604,500681.1239467072,31428375.005724426,165.38207169539712,1.0296277648436316
10764000,1598814613,6944612.0897939075,57279.968359569815,612023.5339827384,35292602.87658777,121.23980317516475,1.0305219780245358
10765000,1598827346,7519432.687752197,55716.48966662467,627816.9731739056,37374184.99469161,134.95883772908428,1.030982654073925
10766000,1598841029,8652311.151467023,57756.127404392275,685484.6538835224,38842529.13412138,149.80767479242428,1.031258071653226
10767000,1598854703,8782291.455287047,70003.40385527813,759964.3230515545,41540223.29048823,125.45520605602495,1.0317400688316474
10768000,1598867833,9113468.654209467,78872.93632409365,821400.3601764226,43993157.93721388,115.54620734242323,1.0321693716320917
