block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
11471000,1608212725,10.0,0.00056452,0.07513454598252291,0.0,17714.164245730888,1.0000000000000129
11472000,1608225943,12649370.00665201,371.74601957983907,66238.01988610065,122646944.90055752,34026.91445344536,1.0352619934515437
11473000,1608239436,34599041.40408951,1152.3692682424114,192220.6089223916,175084686.79491714,30024.265968893644,1.0387903785554118
11474000,1608252369,41444701.91668204,1135.9761486453187,208709.86588755265,196134497.6207788,36483.778260754785,1.0396236190881465
11475000,1608265705,39922816.64128565,1328.8093207955017,221270.4355633411,230206506.22659543,30044.052232705268,1.040922818985167
11476000,1608278737,41147764.11489192,1212.2145585752428,214487.95988749558,238881821.25292984,33944.29131692189,1.0412618337055448
11477000,1608291886,49608223.64679872,1547.8524053638855,266022.0205438264,251028236.67576635,32049.71189429156,1.0416552895414888
11478000,1608305426,51048875.14049142,1402.748877920407,256783.79428016586,266275842.7530256,36392.02707199596,1.04211450702288
11479000,1608319142,49823367.85651924,1485.8048234586445,260953.9755750905,283431746.01669574,33532.915676327386,1.042637893183129
11480000,1608332047,53764453.32383602,1422.7003495274716,265188.0801789382,292685986.3508464,37790.42673440902,1.0429184174750687
11481000,1608345253,55564985.66075322,1380.1004587392974,265411.4224714066,308439622.65671563,40261.55147539842,1.043365191559418
11482000,1608359044,56120845.00899378,1404.5656542346944,268961.0315343639,326279287.93437886,39956.014045902564,1.0438636179372762
11483000,1608372164,53909913.61094078,1483.112100574519,270834.92296518374,332427969.9029281,36349.18330856952,1.044038810327796
11484000,1608385194,54324528.49260192,1447.5817099408248,268516.1780114848,343423303.900914,37527.78037988793,1.0443572102577021
11485000,1608398201,48321133.73856465,1710.3671480349008,275041.2638260472,372212901.879274,28251.907079764966,1.0452384466569693
11486000,1608411657,46414826.78361625,1657.2925688137846,265061.1738476852,406303961.0827745,28006.417006285068,1.0463617163765873
11487000,1608424700,49795403.15250658,1685.3841668167295,276666.3457624859,428794410.08324873,29545.43191571432,1.0470990060380942
11488000,1608437899,49700301.09949428,1691.28588893143,276681.9902546248,453304857.62177175,29386.102860998504,1.0478693357208595
11489000,1608451223,52688374.23154466,1656.9256947853644,281878.85378874943,464461490.1304984,31798.875711424003,1.048205462468022
11490000,1608464280,50301073.00630236,1758.5894650720645,283635.4242875961,477320256.29811954,28603.078777252376,1.0486012901562076
11491000,1608477925,52443929.87193294,1841.8771006079144,296267.9782856212,491539441.0660455,28473.088597835187,1.0490428409670978
11492000,1608491288,45594404.76428361,2140.5684318031226,297404.83761536103,534071397.6749033,21300.13882615136,1.050442548898193
11493000,1608504061,43403830.77921874,2259.339551255659,297588.57158255944,585005946.6704646,19210.848920471686,1.0522974900157875
11494000,1608517962,48804723.00295306,2062.937697270448,301295.6315399368,609346630.5172769,23657.8754014377,1.0531279697155491
11495000,1608531263,43954512.82511257,2310.6248950725753,302238.8470411293,645927149.6360568,19022.781637489443,1.054426168651617
11496000,1608544285,44407044.35472152,2639.072496486502,324119.62959025096,694272293.588591,16826.761831606484,1.0562002369488748
11497000,1608556869,53541657.97023094,2488.613533234401,345225.29206410237,730140768.2032813,21514.653543109165,1.057357940939944
11498000,1608569893,49711363.79962755,2448.637350395163,329790.14919208013,748035756.2165599,20301.644010945558,1.0579189454854188
11499000,1608583781,47733098.98528501,2683.21500183672,338098.9308860525,766166916.3403772,17789.517035575107,1.05850704965553
11500000,1608596869,51647589.83113688,2579.829585539901,344626.9023839351,787518500.2264986,20019.768019029118,1.0591838808149114
11501000,1608610169,56605294.02391118,3067.551837852439,393290.16080141603,798783651.406157,18452.9217486802,1.0595254646921737
11502000,1608623427,56384295.61605679,3093.9404590251893,394103.2083348914,808706056.3087063,18224.10494409509,1.0598028550106722
11503000,1608636545,56290244.66727017,3179.966281439898,399084.5034329074,820627390.6444257,17701.52249594979,1.060139365839048
11504000,1608649855,54551479.06669591,3078.6643949935924,386464.6887633832,830035973.0114832,17719.20289701127,1.0604119689717193
11505000,1608663126,54705082.26193844,3070.13602239528,386368.2159806428,840004207.0403992,17818.455554701533,1.0606967881111744
11506000,1608676320,54269756.12340069,3119.387783274519,387801.27175280865,849359838.4638685,17397.56641171173,1.060973140521681
11507000,1608689868,59187504.63821129,2788.287533939716,382699.50405625603,868359547.789015,21227.18834329909,1.0615144105942074
11508000,1608702922,61038200.62932935,2762.552473322057,386740.4041617753,878631251.9487642,22094.856557033632,1.06178499200433
11509000,1608716012,59257595.24118849,2851.7678730286248,387116.51616091037,883353957.2087481,20779.24918140547,1.0619092331615296
11510000,1608728710,60229350.46872588,2825.040444076788,388324.1840692272,895734329.5019922,21319.818834809128,1.0622383733765774
11511000,1608742373,65374969.34886941,2840.8562881045937,405620.45874272,904214384.3676852,23012.41693309565,1.0624549627075484
11512000,1608755539,65785379.48434243,2776.3480376845423,402139.81435088,915783377.5922725,23694.93254858892,1.0627339942164111
11513000,1608768583,71047931.46289073,2590.4789938251624,403399.6616635989,948904315.0989908,27426.56150937541,1.0634822038907237
11514000,1608782222,73203268.45863204,2516.343901527299,403410.4626570755,967942470.3532377,29091.122407474268,1.0639055533213253
11515000,1608795613,74216342.73392925,2497.457895219294,404579.2170445313,978464266.3292943,29716.754334876405,1.064131483776342
11516000,1608808964,70880136.47945048,2624.147217717487,405216.258098512,986733535.5837524,27010.7317153886,1.0643133474974091
11517000,1608822260,71380713.39644329,2685.896382791593,411343.8335365153,993354657.6651397,26576.123283748417,1.0644617935493712
