block,timestamp,reserve0,reserve1,total supply,trade volume,price,sINV
10976000,1601633404,195996793.60841867,19675.22795763316,1959216.2340089327,341985147.92471063,9961.6021745954,1.0023098516286535
10977000,1601646720,219061080.1539144,17618.579760347675,1958675.162325607,437189552.8407951,12433.526602804419,1.0030108816115488
10978000,1601660827,181600700.34429505,21400.43442451712,1963839.263548795,544130359.6311284,8485.841770401008,1.0038391182604158
10979000,1601674061,159004322.2382464,24623.447965139883,1966641.37133154,792703788.442369,6457.435305703466,1.0061291391649585
10980000,1601687922,145069591.26128215,27029.756419939327,1965829.910921141,913145288.9107183,5367.032873232523,1.0073104072332812
10981000,1601702001,142996713.17726672,27467.126826540683,1965843.1905427447,992040654.5593317,5206.103793830127,1.0081398256844207
10982000,1601715032,142147127.25430354,27658.537185893398,1965724.4940404485,1044043191.7400897,5139.358104838692,1.0086976242833496
10983000,1601728631,135274704.74013132,28999.48298812713,1962682.8892714728,1084347168.3105383,4664.728153792089,1.0091443398694635
10984000,1601742269,151317091.37482077,25975.820343261224,1962709.9846442488,1178738368.1059453,5825.305587089039,1.0101188985091012
10985000,1601755801,163164278.01996183,24104.371788757013,1962168.229236111,1239784260.9949224,6769.074068798856,1.0107045271100694
10986000,1601769201,162016244.29508695,24288.018540007983,1962179.4510853584,1267833012.723852,6670.624202143487,1.010966116150817
10987000,1601782692,175771611.37461698,22403.182504904857,1962180.9163236062,1307831301.2641954,7845.832231029419,1.0113236837370023
10988000,1601796104,180956926.91068348,21776.332569085564,1962288.852850219,1342666000.1883125,8309.798095551507,1.0116191444948084
10989000,1601809535,179084297.55605084,21946.541324646383,1959035.986561981,1385800450.7061634,8160.023709746729,1.0119740675795448
10990000,1601822552,176111744.17039257,22351.24354285479,1959032.8978257263,1472572980.867151,7879.281697804759,1.0127523867852184
10991000,1601836715,178398412.86485836,22081.253732855792,1959076.157077148,1513267613.1131036,8079.179516850104,1.013108684463336
10992000,1601850466,182241324.25702044,21623.664458588984,1959299.6791646671,1521930641.9480324,8427.864972009109,1.0131814054358474
10993000,1601863935,178389993.0091881,22097.223700562598,1959299.6791646671,1540182494.2949858,8072.959545802413,1.0133354429064505
10994000,1601877754,179251757.69407296,21994.097945469093,1959299.6791646671,1548686575.5546038,8149.993609126392,1.0134070505654176
10995000,1601891080,177162460.69284487,22257.863755107213,1959299.6791646671,1560415827.37546,7959.544664397263,1.0135069341366432
10996000,1601904618,179605320.40510452,21958.86384180297,1959299.6791646671,1570478898.3426142,8179.171823233898,1.0135931440454258
10997000,1601917755,180796627.82971585,21816.86208223949,1959299.6791646671,1577896875.8249178,8287.013372876265,1.0136556342275902
10998000,1601931072,184150925.83851045,21421.728012710868,1959299.6791646671,1584331202.5676758,8596.4552313073,1.0137090795767714
10999000,1601944559,183872331.00123072,21452.667531174928,1959096.435291065,1592687804.3758767,8571.070741390466,1.0137783857159754
11000000,1601957824,198112354.7966268,19918.62541022044,1959096.435291065,1618132769.9993374,9946.085671904524,1.0139806044327426
11001000,1601971280,196983053.59814847,20034.9303487862,1959096.435291065,1625019998.3965547,9831.980953708817,1.0140340465784097
11002000,1601984542,206382718.23174253,19125.756060341635,1959096.435291065,1636678200.798099,10790.826651799092,1.0141218869265216
11003000,1601998104,211624180.13180423,18659.62065427189,1959096.435291065,1665392585.4483097,11341.290589600254,1.014327581868029
11004000,1602011740,222732609.05075648,17729.721407169796,1958872.9132035463,1684727776.6769712,12562.668297804425,1.0144638994974902
11005000,1602024907,225622889.9031961,17507.235542649785,1958839.2402026209,1707579801.7848663,12887.408143538765,1.014615682664349
11006000,1602038398,226167782.96711212,17465.772860009787,1958839.2402026209,1710660525.1455386,12949.199830999372,1.014636494511071
11007000,1602052211,224496107.9154852,17596.985958866524,1958839.2402026209,1715608377.5198922,12757.645453616398,1.0146698511551762
11008000,1602065856,217183424.458774,18197.81652754173,1958839.2402026209,1748898299.1441364,11934.5869945482,1.0149021767605837
